ID,英文名稱,中文名稱,圖片,更新日期
3288229,chalumeau {Fr.},古单簧管；单簧管低音区,,2018-03-15
3288230,changgo,杖鼓｛韩国｝,,2018-03-15
3288231,Chapman stick,切普曼吉他,,2018-03-15
3288232,charango ,恰朗哥琴,,2018-03-15
3288233,charangón {Sp.},恰朗工琴,,2018-03-15
3288234,Chemnitzer concertina {Ger.},肯姆尼茨手风琴,,2018-03-15
3288235,chenda｛Chande｝,千达鼓｛印度｝,,2018-03-15
3288236,chime bar,金属条块,,2018-03-15
3288237,chimes,管钟,,2018-03-15
3288238,china splash,中国小狮钹,,2018-03-15
3288239,chinese hand drum ,中国手摇鼓,,2018-03-15
3288240,chinese Temple Bell ,中国钟,,2018-03-15
3288241,chitarra battente {It.},打弦吉他,,2018-03-15
3288242,chitravina {Ind.},奇特拉维纳琴,,2018-03-15
3288243,cigar box guitar,雪茄盒吉他,,2018-03-15
3288244,cigar box ukulele,雪茄盒乌克丽丽,,2018-03-15
3288245,cimbalom,钦巴龙琴,,2018-03-15
3288246,cimbasso {It.},有键低音长号,,2018-03-15
3288247,clap stick,响木,,2018-03-15
3288248,clapping,拍手,,2018-03-15
3288249,clarinet,单簧管,,2018-03-15
3288250,clarinette d'amour {Fr.},柔音单簧管,,2018-03-15
3288251,clarytone,克拉蕊哨,,2018-03-15
3288252,classical guitar,古典吉他,,2018-03-15
3288253,claves,响木,,2018-03-15
3288254,clavinet,仿击弦电钢琴,,2018-03-15
3288255,clavinova ,数位电钢琴｛乐器品牌系列｝,,2018-03-15
3288256,concert ukulele,中音乌克丽丽,,2018-03-15
3288257,concert zither,演奏会齐特琴,,2018-03-15
3288258,concertina,六角手风琴,,2018-03-15
3288259,conch,海螺号,,2018-03-15
3288260,conga,康加鼓,,2018-03-15
3288261,contra-alto clarinet,倍中音单簧管,,2018-03-15
3288262,contra-alto flute,倍中音长笛,,2018-03-15
3288263,contrabass clarinet,倍低音单簧管,,2018-03-15
3288264,contrabass flute,倍低音长笛,,2018-03-15
3288265,contrabass oboe,倍低音双簧管,,2018-03-15
3288266,contrabass tuba,双倍低音号,,2018-03-15
3288267,contrabassoon,倍低音管,,2018-03-15
3288268,cornamuse,克纳密斯管,,2018-03-15
3288269,corrugaphone,克鲁加管,,2018-03-15
3288270,cowbell,牛铃,,2018-03-15
3288271,cracklebox,克拉克噪响器,,2018-03-15
3288272,crash cymbal,克拉许钹｛吊钹｝,,2018-03-15
3288273,crash cymbals,双面钹,,2018-03-15
3288274,Croix Sonore,十字架音响器,,2018-03-15
3288275,crotale,古钹,,2018-03-15
3288276,crystallophone,水晶琴,,2018-03-15
3288277,cuatro {Sp.},瓜特罗琴,,2018-03-15
3288278,cuíca,桂嘎鼓,,2018-03-15
3288279,cümbüş {Tr.},晋布斯琴,,2018-03-15
3288280,cup chime,杯钟,,2018-03-15
3288281,cymbal ,钹,,2018-03-15
3288282,D clarinet（clarinet in D）,D调单簧管,,2018-03-15
3288283,dabakan,达巴坎鼓 ｛菲律宾｝,,2018-03-15
3288284,daf ,达夫鼓 ｛伊朗手鼓的一种｝,,2018-03-15
3288285,dahol,德甫鼓｛同Davul｝,,2018-03-15
3288286,Dahu {Cn.},大胡,,2018-03-15
