ID,英文名稱,中文名稱,圖片,更新日期
229525,Informal organization,非正式组织,,2012-11-26
229526,Induction training,就业训练;就职训练,,2012-11-26
229527,Individual participation,个人参与,,2012-11-26
229528,Individual interview,个人访问,,2012-11-26
229529,Individual difference,个别差异,,2012-11-26
229530,Individual development,个人发展,,2012-11-26
229531,Individual behavior,个人行为,,2012-11-26
229532,Individual contact method,个别接触法,,2012-11-26
229533,Individual approach,个别指导法,,2012-11-26
229534,Indirect influence,间接影响,,2012-11-26
229535,Incomplete adoption,不完全采用,,2012-11-26
229536,Improved practices,优良方法,,2012-11-26
229537,Impersonal information source,非人际消息来源,,2012-11-26
229538,Impersonal communication,非人际沟通,,2012-11-26
229539,Illiteracy eradication,扫除文盲,,2012-11-26
229540,Identification,"辨真,认同",,2012-11-26
229541,Idea,观念,,2012-11-26
229542,Hypothesis,假说,,2012-11-26
229543,Human resources,人力资源,,2012-11-26
229544,Human relations,人群关系,,2012-11-26
229545,Human behavior,人类行为,,2012-11-26
229546,Housing project,住宅计划,,2012-11-26
229547,Homogeneity,同质,,2012-11-26
229548,Home visit,家庭访问,,2012-11-26
229549,Home management,家庭管理,,2012-11-26
229550,Home makers’ club,家庭主妇会(美国),,2012-11-26
229551,Home living education,家庭生活教育,,2012-11-26
229552,Home improvement project,家庭改善计划,,2012-11-26
229553,Home improvement club,家事改进班,,2012-11-26
229554,Home furnishing,家庭布置,,2012-11-26
229555,Home economics supervisor,家政督导员,,2012-11-26
229556,Home economics extension,家政推广,,2012-11-26
229557,Home economics association,家政学会,,2012-11-26
229558,Home economics,家政学,,2012-11-26
229559,Home economic adviser,家政指导员,,2012-11-26
229560,Home demonstration agent,家政指导员(美国),,2012-11-26
229561,Home decoration,家庭装饰,,2012-11-26
229562,Home advisor,家政指导员,,2012-11-26
229563,Heterogeneity,异质,,2012-11-26
229564,Helping people to help themselves,助人自助,,2012-11-26
229565,Help seeker,求助者,,2012-11-26
229566,Hatch Act,海赤法案(美国农业教育法),,2012-11-26
229567,Hamonizer,协调者,,2012-11-26
229568,Habit formation,习惯养成,,2012-11-26
229569,Group thinking,团体构想,,2012-11-26
229570,Group task,"团体作业,团体任务",,2012-11-26
229571,Group standard,团体标准,,2012-11-26
229572,Group productivity,团体生产力,,2012-11-26
229573,Group interview,小组访问,,2012-11-26
229574,Group identification,团体认同,,2012-11-26
229575,Group formation,团体构成,,2012-11-26
229576,Group dynamics,动态组织学,,2012-11-26
229577,Group discussion,小组讨论,,2012-11-26
229578,Group dialog,分组对谈,,2012-11-26
229579,Group decision-making,团体决议,,2012-11-26
229580,Group contact method,小组接触法,,2012-11-26
229581,Group consciousness,团体意识,,2012-11-26
229582,Group cohesiveness,团体凝结力,,2012-11-26
229583,Group behavior,团体行为,,2012-11-26
229584,Group atmosphere,团体气氛,,2012-11-26
229585,Group approach,团体指导法,,2012-11-26
229586,Group affiliation,团体隶属,,2012-11-26
229587,Group activity,团体活动,,2012-11-26
229588,Group action,团体行动,,2012-11-26
229589,Group,"小组,团体",,2012-11-26
229590,Grange,农民协进会(美国一种农民组织),,2012-11-26
229591,Goal,目的,,2012-11-26
229592,Generalization,"类化,概括作用",,2012-11-26
229593,Generalist system,通才制度,,2012-11-26
229594,General objectives,一般目标,,2012-11-26
229595,Future Farmers of America (F.F.A),美国未来农民会,,2012-11-26
229596,Fundamental objectives,基本目标,,2012-11-26
229597,Fundamental education,基本教育,,2012-11-26
229598,Forum,"座谈会,论坛",,2012-11-26
229599,Formalized education,形式化教育,,2012-11-26
229600,Formal organization,正式组织,,2012-11-26
229601,Formal discipline,正式训练,,2012-11-26
229602,Food preparation,膳食准备,,2012-11-26
229603,Food expenditure,食物支出,,2012-11-26
229604,Follow-up,追踪,,2012-11-26
229605,Folk school,民众学校(盛行于北欧),,2012-11-26
229606,Flow chart,"程序表,进度表",,2012-11-26
229607,Flannel graph,呢绒板上的图表.呢绒教材,,2012-11-26
229608,Flannel board,呢绒板,,2012-11-26
229609,Field work,实地工作,,2012-11-26
229610,Field trip,"参观旅行,实地考察",,2012-11-26
229611,Field training,实地训练,,2012-11-26
229612,Field study,实地研究,,2012-11-26
229613,Field operation,"实地操作,外勤操作",,2012-11-26
229614,Field demonstration,田间示范,,2012-11-26
229615,Field day,田间观摩会,,2012-11-26
229616,Field agent,田间指导员;外勤人员,,2012-11-26
229617,Felt need,有感需要;切身需要,,2012-11-26
229618,Feed-back,"反馈,反应,反响",,2012-11-26
229619,Federal extension service,联邦推广机构,,2012-11-26
229620,Farmers’ Union,农民协会(美国一种农民组织),,2012-11-26
229621,Farmers club,农民会,,2012-11-26
229622,Farmer club,农民会,,2012-11-26
229623,Farm visit,农埸访问,,2012-11-26
229624,Farm radio broadcasting center,农业广播中心,,2012-11-26
229625,Farm organization,农场组织,,2012-11-26
229626,Farm operation,农事操作,,2012-11-26
229627,Farm mechanization,农业机械化,,2012-11-26
229628,Farm management program,农埸经营计划,,2012-11-26
229629,Farm forum,农事论坛,,2012-11-26
229630,Farm family environment improvement project,农家环境卫生改善计划,,2012-11-26
229631,Farm discussion group,农事研究班,,2012-11-26
229632,Farm Bureau,农业会(美国一种农民组织),,2012-11-26
229633,Farm and home visit,农场农家访问,,2012-11-26
229634,Farm and home unit approach,"农家综合指导,农家整体指导",,2012-11-26
229635,Farm and home development program,农家综合发展计划,,2012-11-26
229636,Farm advisor,农事指导员,,2012-11-26
229637,Family relation,家庭关系,,2012-11-26
229638,Family planning,家庭计划,,2012-11-26
229639,Family organization,家庭组织,,2012-11-26
229640,Family life,家庭生活,,2012-11-26
229641,Family budget,家庭预算,,2012-11-26
229642,Fairs,"展览会,赛会",,2012-11-26
229643,Fact sheet,资料单张,,2012-11-26
229644,Face-to-face contact,面对面接触，当面接触,,2012-11-26
229645,External dynamics,外在动力,,2012-11-26
229646,Extension training,推广训练,,2012-11-26
229647,Extension testing,推广检定,,2012-11-26
229648,Extension techniques,推广技术,,2012-11-26
229649,Extension teaching methods,推广教学法,,2012-11-26
229650,Extension system,推广系统，推广制度,,2012-11-26
229651,Extension supervisor,推广督导员,,2012-11-26
229652,Extension specialist,推广专家,,2012-11-26
229653,Extension service,推广工作，推广机构,,2012-11-26
229654,Extension research,推广研究,,2012-11-26
229655,Extension program,推广计划,,2012-11-26
229656,Extension principle,推广原理，推广原则,,2012-11-26
229657,Extension philosophy,推广哲理,,2012-11-26
229658,Extension personnel,推广人员,,2012-11-26
229659,Extension organization,推广组织,,2012-11-26
229660,Extension leader,推广领袖,,2012-11-26
229661,Extension evaluation,推广考评,,2012-11-26
229662,Extension education,推广教育,,2012-11-26
229663,Extension editor,推广编辑,,2012-11-26
229664,Extension coverage,推广范围,,2012-11-26
229665,Extension code,推广信条,,2012-11-26
229666,Extension agency,推广机构,,2012-11-26
229667,Experiment station,实验埸,,2012-11-26
229668,Exhibits,展览,,2012-11-26
229669,Executing agency,执行机构,,2012-11-26
229670,Evaluator,考评者,,2012-11-26
229671,Evaluation stage,考评阶段,,2012-11-26
229672,Evaluation meeting,检讨会,,2012-11-26
229673,End-of-meeting evaluation,会末考评,,2012-11-26
229674,Empirical study,实验研究法,,2012-11-26
229675,Educational tours,教育性观摩会,,2012-11-26
229676,Educational television,教育电视,,2012-11-26
229677,Educational objectives,教育目标,,2012-11-26
229678,Educational measurement,教育测量,,2012-11-26
229679,Educational exhibits,教育展览,,2012-11-26
229680,Educational display,教育展示,,2012-11-26
229681,Editor,编辑,,2012-11-26
229682,Early majority,早期多数,,2012-11-26
229683,Early adopter,早期采用者,,2012-11-26
229684,Dynamic organization,动态组织,,2012-11-26
229685,Dynamic leadership,动态领导,,2012-11-26
229686,Dramatized teaching,戏剧化的教学,,2012-11-26
229687,Dramatized experience,戏剧化的经验,,2012-11-26
229688,Domestic education,家事教育,,2012-11-26
229689,Division of labor,分工,,2012-11-26
229690,Divisibility,可分度,,2012-11-26
229691,District supervisor,区督导员,,2012-11-26
229692,District agent,区推广员,,2012-11-26
229693,Dissemination,散播;广布,,2012-11-26
229694,Discussion meeting,讨论会,,2012-11-26
229695,Direct mail method,直接通信法,,2012-11-26
229696,Direct influence,直接影响,,2012-11-26
229697,Direct contact method,直接接触法,,2012-11-26
229698,Diffusionist,传播者,,2012-11-26
229699,Diffusion process,传播过程,,2012-11-26
229700,Diffusion,传播,,2012-11-26
229701,Differentiation,分化,,2012-11-26
229702,Dialogue,对话,,2012-11-26
229703,Diagnostic process,诊察过程,,2012-11-26
229704,Developing country,开发中国家,,2012-11-26
229705,Developed country,已开发国家,,2012-11-26
229706,Despotic leader,专制领导者,,2012-11-26
229707,Demonstrator,示范者,,2012-11-26
229708,Demonstration,示范,,2012-11-26
229709,Democratic leader,民主领导者,,2012-11-26
229710,Democratic group,民主团体,,2012-11-26
229711,Democratic atmosphere,民主气氛,,2012-11-26
229712,Delegation of authority commensurate with responsibility,权责相称,,2012-11-26
229713,Delegation of authority,授权,,2012-11-26
229714,Decision making process,决定过程，决议过程,,2012-11-26
229715,Debating discussion,辩论会,,2012-11-26
229716,Curriculum,课程，计划,,2012-11-26
229717,Cultural type,文化类型,,2012-11-26
229718,Cultural renaissance,文化复兴,,2012-11-26
229719,Cultural cycle,文化周期,,2012-11-26
229720,Cultural conservation,文化保存,,2012-11-26
229721,Cultural change,文化变迁,,2012-11-26
229722,Crowd behavior,群众行为,,2012-11-26
229723,Criteria,标准,,2012-11-26
229724,Credibility,可信度,,2012-11-26
229725,Creative leadership,创造性领导,,2012-11-26
229726,County extension service,县推广工作;县推广所,,2012-11-26
229727,County extension agent,县推广员,,2012-11-26
229728,County agricultural extension advisory council (Committee),县农业推广辅导委员会,,2012-11-26
229729,Counseling and guidance,辅导与指引,,2012-11-26
229730,Cosmopoliteness,万国性;共通性,,2012-11-26
229731,Correspondence course,函授课程,,2012-11-26
229732,Coordinator,协调者,,2012-11-26
229733,Coordination,协调,,2012-11-26
229734,Cooperative extension service,合作推广工作,,2012-11-26
229735,Cooperative agency,合作机构,,2012-11-26
229736,Contracted farm,契约农埸,,2012-11-26
229737,Contract farming,契约农业,,2012-11-26
229738,Continuing education,继续教育，成人教育,,2012-11-26
229739,Contest,比赛，竞赛,,2012-11-26
229740,Consumer education,消费者教育,,2012-11-26
229741,Configuration,"意思型,构想",,2012-11-26
229742,Cone of experience,经验之塔,,2012-11-26
229743,Conduct,行为,,2012-11-26
229744,Concept,概念,,2012-11-26
229745,Compatibility,相合度,,2012-11-26
229746,Companionship,友谊,,2012-11-26
229747,Community service,社区服务;公共服务,,2012-11-26
229748,Community organization,社区组织,,2012-11-26
229749,Community development,社区发展,,2012-11-26
229750,Community committee,社区委员会,,2012-11-26
229751,Community center,社区活动中心,,2012-11-26
229752,Community approach,社区指导法,,2012-11-26
229753,Community action program,社区工作计划,,2012-11-26
229754,Community action,社区行动,,2012-11-26
229755,Communicator,通讯者,,2012-11-26
229756,Communication process,通讯过程,,2012-11-26
229757,Communication,"通讯,交通,沟通",,2012-11-26
229758,Communicability,"沟通度,交通度",,2012-11-26
229759,Commodity group,产业团体,,2012-11-26
229760,Commodity committee,产品委员会,,2012-11-26
229761,Commercialized agriculture,商业化农业,,2012-11-26
229762,Commercial farmer,商业化农民,,2012-11-26
229763,Collective-orientation,集体导向，集体取向,,2012-11-26
229764,Collective consciousness,集体意识,,2012-11-26
229765,Collective behavior,集体行为,,2012-11-26
229766,Cognitive domain,认知范畴,,2012-11-26
229767,Clientel,指导对象,,2012-11-26
229768,Classification chart,分类图,,2012-11-26
229769,Civilizing process,教化过程,,2012-11-26
229770,Citizenship education,公民教育,,2012-11-26
229771,Citizenship development,公民培养,,2012-11-26
229772,Circulars,传单,,2012-11-26
229773,Circular letter,通函,,2012-11-26
229774,Chronological chart,年历表,,2012-11-26
229775,Child development,儿童发展,,2012-11-26
229776,Child care,儿童保育,,2012-11-26
229777,Chautauqua system,夏多瓜制度(美国早期成人教育制度之一),,2012-11-26
229778,Charismatic leader,神明领导者,,2012-11-26
229779,Channel,途径，频道,,2012-11-26
229780,Change agent,促变者；指导员,,2012-11-26
229781,Chalk talk,粉笔教学,,2012-11-26
229782,Catalyst,促成者,,2012-11-26
229783,Case study,个案研究,,2012-11-26
229784,Case record,个案记录,,2012-11-26
229785,Case history technique,个案史法,,2012-11-26
229786,Case history,个案史,,2012-11-26
229787,Case analysis,个案分析,,2012-11-26
229788,Calendar of work,工作历，行事历,,2012-11-26
229789,Buzz group discussion,波式小组讨论法（细声的小组讨论方式）,,2012-11-26
229790,Bureaucratic leader,科层化领导者；官僚领导者,,2012-11-26
229791,Bulletin board,揭示板，布告板,,2012-11-26
229792,Bulletin,浅说；手册,,2012-11-26
229793,Broadcasting program,广播，传播（包括广播与电视）,,2012-11-26
229794,Brainstorming method,奇想法,,2012-11-26
229795,Born leader,天生领导者,,2012-11-26
229796,Blocker,阻碍者,,2012-11-26
229797,Better living,优良生活,,2012-11-26
229798,Better farming,优良农事,,2012-11-26
229799,Better citizenship,优良公民,,2012-11-26
229800,Better business,优良经营,,2012-11-26
229801,Bench mark survey,立标调查,,2012-11-26
229802,Bench mark study,立标研究,,2012-11-26
229803,Bench mark,立标,,2012-11-26
229804,Belief,信念,,2012-11-26
229805,Behavioral sciences,行为科学,,2012-11-26
229806,Behavior pattern,行为模式,,2012-11-26
229807,Behavior change,行为改变,,2012-11-26
229808,Behavior,行为,,2012-11-26
229809,Basic pattern,衣服基本纸型，基本模型,,2012-11-26
229810,Basic four,基本四大类食物,,2012-11-26
229811,Balanced farming program,农场农家平衡发展计划,,2012-11-26
229812,Awareness-trial stage,知觉至试验阶段,,2012-11-26
229813,Awareness stage,知觉阶段,,2012-11-26
229814,Autoratic leader,独断领导者,,2012-11-26
