ID,英文名稱,中文名稱,圖片,更新日期
67717,pseudohypertrichosis,假多毛性,,2012-11-26
67718,pseudohypermetabola,拟复变态类,,2012-11-26
67719,pseudohermophrodite,假两性体；假性雌雄同体,,2012-11-26
67720,pseudohaltere,伪平衡棍,,2012-11-26
67721,pseudogyna,假雌虫,,2012-11-26
67722,Pseudogramma polyacantha ,多棘拟线鲈,,2012-11-26
67723,PSEUDOGRAMIDAE,拟线鲈科,,2012-11-26
67724,pseudoglobulin,拟球蛋白,,2012-11-26
67725,pseudogenes,假基因,,2012-11-26
67726,pseudogastrula,假原肠胚,,2012-11-26
67727,pseudoflagella,假鞭毛,,2012-11-26
67728,PSEUDOECHINOIDEA,拟海胆亚纲,,2012-11-26
67729,pseudodominance,假显性,,2012-11-26
67730,pseudocyesis,虚孕,,2020-03-09
67731,pseudoculus (pl.pseudoculi),伪眼,,2012-11-26
67732,PSEUDOCREODI; OXYAENOIDEA,伪肉齿类,,2012-11-26
67733,PSEUDOCRENILABRUS,伪锯唇鲷科,,2012-11-26
67734,Pseudocordylus microlepidotus,峭壁环尾蜥,,2020-03-11
67735,pseudocopulation; amplexus; amplexation,假交合,,2012-11-26
67736,pseudocone eye,伪视锥眼,,2012-11-26
67737,pseudoconcha,假鼻甲,,2012-11-26
67738,pseudocoelum,拟体腔,,2012-11-26
67739,pseudocoelomata,拟体腔动物,,2012-11-26
67740,Pseudococcus chiponesis  Takahashi,根粉介壳虫,,2020-03-13
67741,Pseudococcus brevipes  Cockerell,粉介壳虫；凤梨粉介壳虫,,2020-03-19
67742,Pseudochromis melanotaenia ,黑带准雀鲷,,2012-11-26
67743,Pseudochromis fuscus ,褐准雀鲷,,2012-11-26
67744,Pseudochromis cyanotaenia ,蓝带准雀鲷,,2012-11-26
67745,Pseudochromis aureus ,金色准雀鲷,,2012-11-26
67746,PSEUDOCHROMIDAE,拟雀鲷科,,2012-11-26
67747,pseudocholinesterase,假性胆[生佥]脂酶,,2012-11-26
67748,pseudochiasma,假交叉,,2012-11-26
67749,Pseudocheiridae peregrinus ,卷尾【鼠+儿】,,2012-11-26
67750,PSEUDOCHEIRIDAE,卷尾【鼠+儿】科,,2012-11-26
67751,Pseudocheiridae ,卷尾【鼠+儿】（属）,,2012-11-26
67752,Pseudocheilinus hexataenia ,六带拟鹦鲷,,2012-11-26
67753,pseudocercus,中尾丝；伪尾丝,,2012-11-26
67754,Pseudocepola taeniosoma ,拟红帘鱼；拟赤刀鱼,,2012-11-26
67755,pseudocentrous vertebrae,假体椎；假椎,,2012-11-26
67756,Pseudocalliurichthys variegatus ,变色拟鼠[鱼街]鱼；曳丝拟美[鱼街],,2012-11-26
67757,pseudobranch,假鳃,,2012-11-26
67758,pseudobrachium,假臂,,2012-11-26
67759,pseudoblepharoplast,假生毛体,,2012-11-26
67760,pseudoblastopore,假原口,,2012-11-26
67761,Pseudobalistes fuscus ,黑腹鳞鲀；黄绿拟板扒鲀,,2012-11-26
67762,Pseudobagrus taiwanensis ,台湾拟鲿,,2012-11-26
67763,Pseudobagrus adiposalis ,脂鲿,,2012-11-26
67764,pseudoalleles,拟对偶基因,,2012-11-26
67765,pseudoaldoaldosteronism,假多醛酮症,,2012-11-26
67766,pseudoagglutination,拟凝集性,,2012-11-26
67767,pseudo-100-pacer,拟龟壳花,,2012-11-26
67768,PSEUDIDAE,拟蟾科,,2012-11-26
67770,Pseudemydura umbrina ,澳洲颈鳖,,2012-11-26
67771,Pseudaulacaspis pentagona  (Targioni-Tozzetti),桑介壳虫；桃白介壳虫,,2012-11-26
67772,pseudaposematic colors,拟警戒色,,2012-11-26
67773,Pseudaonidia duplex  (Cockerell),山茶圆介壳虫,,2012-11-26
67774,PSETTODIDAE,鳒科,,2012-11-26
67775,Psettodes erumeri ,大口鲽,,2012-11-26
67776,Psettina tosana ,土佐鳒鲆,,2012-11-26
67777,Psettina iijimae ,饭岛氏鳒鲆,,2012-11-26
67778,Psettina gigantea ,长鳒鲆,,2012-11-26
67779,Psephurus glandius; spoonbill Psturgeen; paddle fish ,白鲟；象鱼,,2012-11-26
67780,PSEPHENIDAE,扁泥虫科,,2012-11-26
67781,Psenopsis anomala ,瓜子鲳；刺鲳,,2012-11-26
67782,Psenes pellucidus ,花瓣鲳,,2012-11-26
67783,pselaphogheca,触角鞘；须鞘,,2012-11-26
67784,PSELAPHOGNATHA,触颚目,,2012-11-26
67785,PSELAPHIDAE,蚁冢虫科,,2012-11-26
67786,PSAMOCHARIDAE,鼈甲蜂科；玳瑁蜂科,,2012-11-26
67787,psammophilous,喜砂的,,2012-11-26
67788,Psammoperca waigiensis ,红眼鲈,,2012-11-26
67789,psammon,砂生生物,,2012-11-26
67790,psammoma,砂瘤,,2012-11-26
67791,psammolittoral,砂岸性（栖所）,,2012-11-26
