ID,英文名稱,中文名稱,圖片,化學式,更新日期
334739,methylthio,甲硫基,,CH<sub>3</sub>S－,2012-11-26
334740,methylsulfonyl,甲磺醯基,,CH<sub>3</sub>SO<sub>2</sub>－,2012-11-26
334741,methylsulfonimidoyl,甲磺[醯]亚胺醯基,,CH<sub>3</sub>S(O)(=NH)－,2012-11-26
334742,methylsulfinylamino,甲亚磺醯胺基,,CH<sub>3</sub>SONH－,2012-11-26
334743,methylsulfinyl,甲亚磺醯基,,CH<sub>3</sub>SO－,2012-11-26
334744,methylsulfinohydroximoyl,甲亚磺[醯]肟醯基,,CH<sub>3</sub>S(=NOH)－,2012-11-26
334745,methylsulfinohydrazonoyl,甲亚磺[醯]腙醯基,,CH<sub>3</sub>S(=NNH<sub>2</sub>)－,2012-11-26
334746,methylsulfinimidoyl,甲亚磺[醯]亚胺醯基,,CH<sub>3</sub>S(=NH)－,2012-11-26
334747,2-methylpropenoyl {methacryloyl},2-甲基丙烯醯基 {甲基丙烯醯基},,CH<sub>2</sub>=C(CH<sub>3</sub>)CO－,2012-11-26
334748,methylol; hydroxymethyl,羟甲基,,HOCH<sub>2</sub>－,2012-11-26
334749,methylidyne,次甲基,,HC≣,2012-11-26
334750,5-methylhexyl,5-甲基己基,,(CH<sub>3</sub>)<sub>2</sub>CH(CH<sub>2</sub>)<sub>3</sub>CH<sub>2</sub>－,2012-11-26
334751,"3,4-methylenedioxybenzoyl {piperonyloyl; heliotropoyl}","3,4-亚甲二氧苯甲醯基 {向日葵醯基}",,"3,4-(CH<sub>2</sub>O<sub>2</sub>)C<sub>6</sub>H<sub>3</sub>CO－",2012-11-26
334752,methylenedioxy,亚甲二氧基,,－OCH<sub>2</sub>O－,2012-11-26
334753,methylene,亚甲基,,CH<sub>2</sub>=,2012-11-26
334754,methyldithio,甲二硫基,,CH<sub>3</sub>S<sub>2</sub>－,2012-11-26
334755,trans-methylbutenedioyl,反-甲基丁烯二醯基,,trans-－COC(CH<sub>3</sub>)CHCO－,2020-09-09
334756,cis-methylbutenedioyl,顺-甲基丁烯二醯基,,cis-－COC(CH<sub>3</sub>)CHCO－,2020-09-09
334757,3-methylbutanoyl,3-甲基丁醯基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CO－,2012-11-26
334758,α-methylbenzyl,α-甲苄基,,C<sub>6</sub>H<sub>5</sub>CH(CH<sub>3</sub>)－,2012-11-26
334759,methylbenzyl,甲苄基,,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>－,2012-11-26
334760,methylbenzenecarbonoyl; toluoyl,甲苯甲醯基,,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
334761,methylazoxy,甲(氧偶氮)基,,CH<sub>3</sub>N(O)N－,2012-11-26
334762,methylazo,甲偶氮基,,CH<sub>3</sub>N=N－,2012-11-26
334763,methylamino,甲胺基,,CH<sub>3</sub>NH－,2012-11-26
334764,methylallyl,甲烯丙基,,CH<sub>2</sub>=C(CH<sub>3</sub>)CH<sub>2</sub>－,2012-11-26
334765,α-methylacryloyl,α-甲基丙烯醯基,,CH<sub>2</sub>=C(CH<sub>3</sub>)CO－,2012-11-26
334766,methyl,甲基,,CH<sub>3</sub>－,2012-11-26
334767,methoxysulfonyl,甲氧磺醯基,,CH<sub>3</sub>OSO<sub>2</sub>－,2012-11-26
334768,methoxysulfinyl,甲氧亚磺醯基,,CH<sub>3</sub>OSO－,2012-11-26
334769,o-methoxyphenyl {guaiacyl},邻-甲氧苯基 {愈创木基},,<p>CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>－</p>,2012-11-26
334770,methoxyphenyl,甲氧苯基,,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>－,2012-11-26
334771,methoxyimino,甲氧亚胺基,,CH<sub>3</sub>ON=,2012-11-26
334772,methoxycarbonyl,甲氧羰基,,CH<sub>3</sub>OCO－,2012-11-26
334773,methoxy(thiosulfonyl),甲氧硫代磺醯基,,CH<sub>3</sub>OS<sub>2</sub>O－,2012-11-26
334774,methoxybenzylidene {anisal; anisylidene},甲氧亚【草卞】基{大茴香亚甲基；甲氧苯亚甲基},,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
334775,p-methoxybenzylidene,对甲氧亚苄基,,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
334776,p-methoxybenzyl,对甲氧苄基；对甲氧苯甲基,,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>－,2012-11-26
334777,methoxybenzoyl {anisoyl},甲氧苯甲醯基 {大茴香醯基},,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
334778,methoxyanilino {anisidino},甲氧苯胺基,,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>NH－,2012-11-26
334779,methoxy,甲氧基,,CH<sub>3</sub>O－,2012-11-26
334780,methoxalyl,甲氧草醯基,,CH<sub>3</sub>OOCCO－,2012-11-26
334781,methionyl,甲硫胺醯基,,CH<sub>3</sub>S(CH<sub>2</sub>)<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
334782,methenyl; methylidyne; methine,次甲基,,HC≣,2012-11-26
334783,methene; methylene,亚甲基,,H<sub>2</sub>C=,2012-11-26
334784,methanoyl; formyl,甲醯基,,HCO－,2012-11-26
334785,methanesulfinyl,甲亚磺醯基,,CH<sub>3</sub>SO－,2012-11-26
334786,methanesulfinamido,甲亚磺醯胺基,,CH<sub>3</sub>SONH－,2012-11-26
334787,methaneazoxy,甲(氧偶氮)基,,CH<sub>3</sub>N(O)N－,2012-11-26
334788,methaneazo,甲偶氮基,,CH<sub>3</sub>N=N－,2012-11-26
334789,methallyl; 2-methylallyl,甲基烯丙基,,CH<sub>2</sub>=C(CH<sub>3</sub>)CH<sub>2</sub>－,2012-11-26
334790,methacryloyl,甲基丙烯醯基,,CH<sub>2</sub>=C(CH<sub>3</sub>)CO－,2012-11-26
334791,metanilyl,间胺苯磺醯基,,H<sub>2</sub>NC<sub>6</sub>H<sub>4</sub>SO<sub>2</sub>－,2012-11-26
334792,mesyl; methanesulfonyl,甲磺醯基,,CH<sub>3</sub>SO<sub>2</sub>－,2012-11-26
334793,mesoxalyl,中草醯基,,－COCOCO－,2012-11-26
334794,α-mesityl,"α-【草米】基；3,5-二甲苯甲基；3,5-二甲苄基",,(CH<sub>3</sub>)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CH<sub>2</sub>－,2012-11-26
334795,mesoxalo,酸中草醯基,,HOOCCOCO－,2012-11-26
334796,mesityl,"【草米】基；2,4,6-三甲苯基",,(CH<sub>3</sub>)<sub>3</sub>C<sub>6</sub>H<sub>2</sub>－,2012-11-26
334797,mesaconoyl,中康醯基,,－COC(CH<sub>3</sub>)=CHCO－,2012-11-26
334798,mercapto,巯基；氢硫基,,HS－,2012-11-26
334799,menthyl,【草孟】基,,CH<sub>3</sub>CH(CH<sub>2</sub>)<sub>2</sub>CH(CH<sub>3</sub>)<sub>2</sub>CH<sub>2</sub>CH－,2012-11-26
334800,menthenyl,【艹孟】烯基,,C<sub>10</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
334801,melissyl,蜜蜡基；三十基,,C<sub>30</sub>H<sub>6</sub><sub>1</sub>－,2012-11-26
334802,mandeloyl,苦杏仁醯基；苯乙醇醯基,,C<sub>6</sub>H<sub>5</sub>CH(OH)CO－,2012-11-26
334803,maloyl {hydroxybutanedioyl},苹果醯基 {羟丁二醯基},,－OCCH(OH)CH<sub>2</sub>CO－,2012-11-26
334804,maloyl,苹果醯基；羟丁二醯基,,－COCH(OH)CH<sub>2</sub>CO－,2012-11-26
334805,malonyl,丙二醯基,,－COCH<sub>2</sub>CO－,2012-11-26
334806,maleoyl,顺丁烯二醯基,,－COCH=CHCO－,2012-11-26
334807,lysyl,离胺醯基,,H<sub>2</sub>N(CH<sub>2</sub>)<sub>4</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
334808,linalyl,沉香基,,C<sub>10</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
334809,leucyl,白胺醯基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
334810,lauryl {dodecyl},月桂基 {十二基},,C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>5</sub>－,2012-11-26
334811,lauroyl,月桂醯基；十二醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>10</sub>CO－,2012-11-26
334812,lanthionyl,羊毛硫胺醯基,,－COCH(NH<sub>2</sub>)CH<sub>2</sub>SCH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
334813,lactoyl; lactyl {2-hydroxypropanoyl},乳醯基 {2-羟丙醯基},,CH<sub>3</sub>CH(OH)CO－,2012-11-26
334814,lactoyl,乳醯基,,CH<sub>3</sub>CH(OH)CO－,2012-11-26
334815,keto,酮基,,O=C<,2012-11-26
334816,isoxazolyl,异【口咢】唑基,,C<sub>3</sub>H<sub>2</sub>NO－,2012-11-26
334817,isoviolanthrenyl,异【艹法】基,,C<sub>3</sub><sub>4</sub>H<sub>1</sub><sub>9</sub>－,2012-11-26
334818,isovaleryl,异戊醯基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CO－,2012-11-26
334819,isoureido,异脲基,,NH=C(OH)NH－,2012-11-26
334820,isothioureido,异硫脲基,,NH=C(SH)NH－,2012-11-26
334821,isothiocyano,异硫氰酸基,,S=C=N－,2012-11-26
334822,isothiocyanato,异硫氰基,,SCN－,2012-11-26
334823,isothiazolyl,异噻唑基,,SNC<sub>3</sub>H<sub>2</sub>－,2012-11-26
334824,isosemicarbazido,异半卡肼,,H<sub>2</sub>NNHC(OH)=N－,2012-11-26
334825,isoselenocyanato,异硒氰基,,SeCN－,2012-11-26
334826,isoquinolyl,异喹啉基,,NC<sub>9</sub>H<sub>6</sub>－,2012-11-26
334827,isopropylphenyl,异丙苯基,,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>－,2012-11-26
334828,isopropylidene,亚异丙基,,(CH<sub>3</sub>)<sub>2</sub>C=,2012-11-26
334829,isopropylbenzylidene,异丙亚苄基,,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
334830,isopropylbenzyl,异丙苄基,,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>－,2012-11-26
334831,isopropylbenzoyl,异丙苯甲醯基,,(CH<sub>3</sub>)<sub>2</sub>CHC<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
334832,isopropyl,异丙基,,(CH<sub>3</sub>)<sub>2</sub>CH－,2012-11-26
334833,isopropoxy,异丙氧基,,(CH<sub>3</sub>)<sub>2</sub>CHO－,2012-11-26
334834,isopropenyl,异丙烯基,,CH<sub>2</sub>=C(CH<sub>3</sub>)－,2012-11-26
334835,isoprenyl,异平基,,(CH<sub>3</sub>)<sub>2</sub>CCHCH<sub>2</sub>－,2012-11-26
334836,isophthalylidene,亚异酞基 {间苯二亚甲基},,=CHC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
334837,isophthaloyl,异酞醯基 {间苯二甲醯基},,－OCC<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
334838,isopentyloxy,异戊氧基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CH<sub>2</sub>O－,2012-11-26
334839,isopentylidyne,次异戊基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>C≡,2012-11-26
334840,isopentyl,异戊基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
334841,isopentylidene,亚异戊基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CH=,2012-11-26
334842,isonitroso {oxyamino; oximino},异亚硝基 {羟亚胺基},,HON=,2012-11-26
334843,isonitroso,异亚硝基,,HON=,2012-11-26
334844,isonitro {aci-nitro},异硝基 {酸硝基},,HOON=,2012-11-26
334845,isonicotinoyl,异烟碱醯基,,NC<sub>5</sub>H<sub>4</sub>CO－,2012-11-26
334846,isoleucyl,异白胺醯基,,C<sub>4</sub>H<sub>9</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
334847,isoindolyl,异吲哚基,,NC<sub>8</sub>H<sub>6</sub>－,2012-11-26
334848,isoindolinyl,异二氢吲哚基；异吲哚啉基,,NC<sub>8</sub>H<sub>8</sub>－,2012-11-26
334849,isohexylidyne,次异己基,,(CH<sub>3</sub>)<sub>2</sub>CH(CH<sub>2</sub>)<sub>2</sub>C≡,2012-11-26
334850,isohexylidene,亚异己基,,(CH<sub>3</sub>)<sub>2</sub>CH(CH<sub>2</sub>)<sub>2</sub>CH=,2012-11-26
334851,isocyano,异氰基,,CN－,2012-11-26
334852,isohexyl,异己基,,(CH<sub>3</sub>)<sub>2</sub>CH(CH<sub>2</sub>)<sub>2</sub>CH<sub>2</sub>－,2012-11-26
334853,isocyanato,异氰酸基,,O=C=N－,2012-11-26
334854,isocumarinyl,异香豆素基,,O<sub>2</sub>C<sub>7</sub>H<sub>5</sub>－,2012-11-26
334855,isocrotonoyl,异巴豆醯基；顺丁烯醯基,,cis-CH<sub>3</sub>C=CCO－,2012-11-26
334856,isocoumarinyl,异香豆素基,,O<sub>2</sub>C<sub>9</sub>H<sub>5</sub>－,2012-11-26
334857,isochromanyl,异【口克】基,,OC<sub>7</sub>H<sub>9</sub>－,2012-11-26
334858,isocarbonohydrazido,异卡肼基,,H<sub>2</sub>NN=C(OH)NHNH－,2012-11-26
334859,isobutyryl,异丁醯基,,(CH<sub>3</sub>)<sub>2</sub>CHCO－,2012-11-26
334860,isobutylidyne,次异丁基,,(CH<sub>3</sub>)<sub>2</sub>CHC≡,2012-11-26
334861,isobutylidene,亚异丁基,,(CH<sub>3</sub>)<sub>2</sub>CHCH=,2012-11-26
334862,isobutylene,伸异丁基,,－C<sub>4</sub>H<sub>8</sub>－,2012-11-26
334863,isobutyl,异丁基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>－,2012-11-26
334864,isobutoxy,异丁氧基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>O－,2012-11-26
334865,isobutenyl,异丁烯基,,(CH<sub>3</sub>)<sub>2</sub>C=CH－,2012-11-26
334866,isobornyl,异【草伯】基 {异莰基},,C<sub>10</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
334867,isobenzofuranyl,异苯并呋喃基,,OC<sub>8</sub>H<sub>5</sub>－,2012-11-26
334868,isoamylidene,亚异戊基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CH=,2012-11-26
334869,isoamylene,伸异戊基,,－C<sub>5</sub>H<sub>10</sub>－,2012-11-26
334870,isoamyl,异戊基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
334871,isoamoxy,异戊氧基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CH<sub>2</sub>O－,2012-11-26
334872,isoallyl {1-propenyl},异烯丙基 {1-丙烯基},,CH<sub>3</sub>CH=CH－,2012-11-26
334873,iodyl,二氧碘基,,O<sub>2</sub>I－,2012-11-26
334874,iodoxy,二氧碘基,,O<sub>2</sub>I－,2012-11-26
334875,iodosyl,氧碘基,,OI－,2012-11-26
334876,iodoso,氧碘基,,OI－,2012-11-26
334877,iodonio,氢碘基,,HI<sup>+</sup>－,2012-11-26
334878,iodoformyl,碘甲醯基；碘羰基,,ICO－,2012-11-26
334879,iodo,碘基,,I－,2012-11-26
334880,indolyl,吲哚基,,NC<sub>8</sub>H<sub>6</sub>－,2012-11-26
334881,3-indolinylidene,3-亚吲哚啉基,,nan,2012-11-26
334882,indolinylidene,亚吲哚啉基；亚二氢吲哚基,,NC<sub>8</sub>H<sub>7</sub>=,2012-11-26
334883,indolinyl,吲哚啉基；二氢吲哚基,,NC<sub>8</sub>H<sub>8</sub>－,2012-11-26
334884,indenyl,茚基,,C<sub>9</sub>H<sub>7</sub>－,2012-11-26
334885,indazolyl,吲唑基,,C<sub>7</sub>H<sub>5</sub>N<sub>2</sub>－,2012-11-26
334886,indanyl,二氢茚基,,C<sub>9</sub>H<sub>9</sub>－,2012-11-26
334887,indacenyl,二环戊二烯并苯基,,C<sub>1</sub><sub>2</sub>H<sub>7</sub>－,2012-11-26
334888,iminomethylamino,亚胺甲胺基,,HN=CHNH－,2012-11-26
334889,imino,亚胺基,,HN<,2012-11-26
334890,imido,亚胺基,,HN<,2012-11-26
334891,imidazolyl,咪唑基,,C<sub>3</sub>H<sub>3</sub>N<sub>2</sub>－,2012-11-26
334892,imidazolinyl,咪唑啉基；二氢咪唑基,,C<sub>3</sub>H<sub>5</sub>N<sub>2</sub>－,2012-11-26
334893,imidazolidyl,咪唑啶基；四氢咪唑基,,C<sub>3</sub>H<sub>7</sub>N<sub>2</sub>－,2012-11-26
334894,imidazolidinyl,四氢咪唑基；咪唑啶基,,C<sub>3</sub>H<sub>7</sub>N<sub>2</sub>－,2012-11-26
334895,icosyl,二十基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>8</sub>CH<sub>2</sub>－,2012-11-26
334896,hydroxypropanedioyl; tartronoyl,羟丙二醯基,,－OCCH(OH)CO－,2012-11-26
334897,hydroxymethyl,羟甲基,,HOCH<sub>2</sub>－,2012-11-26
334898,hydroxyl {hydroxyl},羟基,,HO－,2012-11-26
334899,hydroxyethanoyl,羟乙醯基 ,,HOCH<sub>2</sub>CO－,2012-11-26
334900,2-hydroxypropanoyl {lactoyl},羟丙醯基 {乳醯基},,CH<sub>3</sub>CH(OH)CO－,2012-11-26
334901,2-hydroxy-3-methoxybenzoyl {vanilloyl},2-羟-3-甲氧苯甲醯基；2-羟-3-甲氧苄醯基 {香草醯基},,HOC<sub>6</sub>H<sub>3</sub>(OCH<sub>3</sub>)CO－,2012-11-26
334902,hydroxybutanedioyl {maloyl},羟丁二醯基 {苹果醯基},,－OCCH(OH)CH<sub>2</sub>CO－,2012-11-26
334903,2-hydroxybenzylidene {salicylidene},2-羟亚苄基 {亚柳基},,2-HOC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
334904,2-hydroxybenzyl {salicyl},2-羟苄基 {柳基},,2-HOC<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>－,2012-11-26
334905,p-hydroxybenzoyl,对羟苯甲醯基；对羟苄醯基,,p-HOC<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
334906,o-hydroxybenzoyl {salicyloyl},邻-羟苯甲醯基；邻-羟苄醯基 {柳醯基},,<p>o-HOC<sub>6</sub>H<sub>4</sub>CO－</p>,2012-11-26
334907,m-hydroxybenzoyl,间羟苯甲醯基；间羟苄醯基,,m-HOC<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
334908,hydroxyamino,羟胺基,,HONH－,2012-11-26
334909,hydroxy {hydroxyl},羟基,,HO－,2012-11-26
334910,hydroximino,羟亚胺基,,HON<,2012-11-26
334911,hydroseleno,氢硒基,,HSe－,2012-11-26
334912,hydroperoxy,氢过氧基,,HOO－,2012-11-26
334913,hydrocinnamyl,氢桂皮基 {3-苯丙基},,C<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>CH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
334914,hydrocinnamoyl,氢桂皮醯基,,C<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>CH<sub>2</sub>CO－,2012-11-26
334915,hydrazono,亚肼基,,H<sub>2</sub>NN=,2012-11-26
334916,hydrazo,伸肼基；氢偶氮基,,－NHNH－,2012-11-26
334917,hydrazino,肼基,,H<sub>2</sub>NNH－,2012-11-26
358410,hydrazi,环肼基,,－NHNH－,2012-11-26
358411,hydratropoyl,氢阿托醯基；氢龙葵醯基 {2-苯丙醯基},,C<sub>6</sub>H<sub>5</sub>CH(CH<sub>3</sub>)CO－,2012-11-26
358412,hydnocarpyl,大风子基,,C<sub>5</sub>H<sub>7</sub>(CH<sub>2</sub>)<sub>10</sub>CH<sub>2</sub>－,2012-11-26
358413,hydnocarpoyl,大风子醯基,,C<sub>5</sub>H<sub>7</sub>(CH<sub>2</sub>)<sub>10</sub>CO－,2012-11-26
358414,hydantoyl,脲乙醯基,,H<sub>2</sub>NCONHCH<sub>2</sub>CO－,2012-11-26
358415,"homoveratryl {3,4-dimethoxyphenethyl}","升藜芦基 {3,4-二甲氧苯乙基}",,(CH<sub>3</sub>O)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
358416,"homoveratroyl {3,4-dimethoxyphenylacetyl}","升藜芦醯基 {3,4-二甲氧苯乙醯基}",,(CH<sub>3</sub>O)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CH<sub>2</sub>CO－,2012-11-26
358417,homoseryl,高丝胺醯基,,HOCH<sub>2</sub>CH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358418,"homopiperonyl {3,4-methylenedioxyphenethyl}","升胡椒基 {3,4-亚甲二氧苯乙基}",,(CH<sub>2</sub>O<sub>2</sub>)C<sub>6</sub>H<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
358419,homocysteinyl,高半胱胺醯基,,HSCH<sub>2</sub>CH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358420,histidyl,组胺醯基,,C<sub>4</sub>H<sub>5</sub>N<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358421,hippuryl {hippuroyl},马尿醯基,,C<sub>6</sub>H<sub>5</sub>CONHCH<sub>2</sub>CO－,2012-11-26
358422,hippuroyl {hippuryl},马尿醯基,,C<sub>6</sub>H<sub>5</sub>CONHCH<sub>2</sub>CO－,2012-11-26
358423,hexyloxy,己氧基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>5</sub>O－,2012-11-26
358424,hexylidyne,次己基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>4</sub>C≣,2012-11-26
358425,hexylidene,亚己基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>4</sub>CH=,2012-11-26
358426,n-hexyl,正己基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>4</sub>CH<sub>2</sub>－,2012-11-26
358427,hexyl,己基,,C<sub>6</sub>H<sub>1</sub><sub>3</sub>－,2012-11-26
358428,hexenoyl,己烯醯基,,C<sub>5</sub>H<sub>9</sub>CO－,2012-11-26
358429,hexaphenyl,异稠六苯基,,C<sub>2</sub><sub>6</sub>H<sub>1</sub><sub>5</sub>－,2012-11-26
358430,hexanoylamino,己醯胺基,,C<sub>5</sub>H<sub>1</sub><sub>1</sub>CONH－,2012-11-26
358431,hexanoyl,己醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>4</sub>CO－,2012-11-26
358432,hexanedioyl,己二醯基,,－CO(CH<sub>2</sub>)<sub>4</sub>CO－,2012-11-26
358433,hexanamido,己醯胺基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>4</sub>CONH－,2012-11-26
358434,hexamethylene,"六亚甲基 {1,6伸己基}",,－(CH<sub>2</sub>)<sub>6</sub>－,2012-11-26
358435,hexadecyl,十六基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>4</sub>CH<sub>2</sub>－,2012-11-26
358436,hexadecanoyl {palmitoyl},十六醯基 {软脂醯基},,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>4</sub>CO－,2012-11-26
358437,hexacosyl,二十六基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>2</sub><sub>4</sub>CH<sub>2</sub>－,2012-11-26
358438,hexacontyl,六十基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>5</sub><sub>8</sub>CH<sub>2</sub>－,2012-11-26
358439,hexacenyl,稠六苯基,,C<sub>2</sub><sub>6</sub>H<sub>1</sub><sub>5</sub>－,2012-11-26
358440,n-heptyl {heptyl},正庚基 {庚基},,CH<sub>3</sub>(CH<sub>2</sub>)<sub>5</sub>CH<sub>2</sub>－,2012-11-26
358441,heptyl,庚基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>5</sub>CH<sub>2</sub>－,2012-11-26
