ID,英文名稱,中文名稱,圖片,姓氏,生卒年,祖籍,更新日期
5177879,Sir Hans Adolf Krebs,克瑞布斯,,Krebs,1900-1981,英,2019-10-05
5177880,Stanley Lloyd Miller,米勒,,Miller,1930-2007,美,2019-10-05
5177881,Theodor Heinrich Boveri,包法利,,Boveri,1862-1915,法,2019-10-05
5177882,Theodor Schwann,许旺,,Schwann,1810-1882,德,2019-10-05
5177883,Thomas Hunt Morgan,摩根,,Morgan,1866-1945,美,2019-10-05
5177884,Thomas Robert Cech,阙克,,Cech,1947-,美,2019-10-05
5177885,Thomas Robert Malthus,马尔萨斯,,Malthus,1766-1836,英,2019-10-05
5177886,Walter Stanborough Sutton,萨登,,Sutton,1876-1916,美,2019-10-05
5177887,Walther Flemming,弗莱明,,Flemming,1843-1905,德,2019-10-05
5177888,Wihelm Weinberg,温柏格,,Weinberg,1862-1937,德,2019-10-05
5177889,"Wilhelm His, Jr.",希斯,,His,1863-1934,瑞士,2019-10-05
5177890,Wilhelm Johannsen,约翰森,,Johannsen,1857-1927,丹麦,2019-10-05
5177891,William Bateson,贝特森,,Bateson,1861-1926,英,2019-10-05
5177892,Alfred Hershey,赫希,,Hershey,1908-1977,美,2019-10-05
5177893,Martha Chase,阙思,,Chase,1927-2003,美,2019-10-05
5177894,Francois Jacob,贾克柏,,Jacob,1920-2013,法,2019-10-05
5177895,Jacques Monod,莫诺,,Monod,1910-1976,法,2019-10-05
5177896,Francis Darwin,法兰西斯‧达尔文,,Darwin,1848-1925,英,2019-10-05
5177897,Frits Warmolt Went,温特,,Went,1903-1990,荷兰,2019-10-05
