ID,英文名稱,中文名稱,圖片,更新日期
3204141,ac｛alternating current｝,交流[电],,2017-07-31
3204142,AC｛alternating current｝,交流[电],,2017-07-31
3204143,accelerant,催速剂；促进剂｛化学｝,,2017-07-31
3204144,accelerated life test,加速寿命试验,,2017-07-31
3204145,accelerated motion,加速度运动,,2017-07-31
3204146,accelerated observer,加速观察者,,2017-07-31
3204147,accelerated phosphorescence,加速发燐光,,2017-07-31
3204148,accelerating lens,加速[电子]透镜,,2017-07-31
3204149,accelerating potential,加速电位；加速势,,2017-07-31
3204150,accelerating voltage,加速电压,,2017-07-31
3204151,acceleration,加速度,,2017-07-31
3204152,acceleration grid,加速栅极,,2017-07-31
3204153,acceleration of gravity,重力加速度,,2017-07-31
3204154,accelerator,加速器,,2017-07-31
3204155,accelerometer,加速度计,,2017-07-31
3204156,acceptance angle,接收角,,2017-07-31
3204157,acceptor,受子；受体；接受器,,2017-07-31
3204158,acceptor circuit,接受电路；受体电路,,2017-07-31
3204159,acceptor density,受子密度,,2017-07-31
3204160,acceptor impurity level,受子杂质能阶,,2017-07-31
3204161,acceptor ionization energy,受子电离能,,2017-07-31
3204162,acceptor level,受子能阶,,2017-07-31
3204163,acceptor molecule,受体分子,,2017-07-31
3204164,accessible state,可及态,,2017-07-31
3204165,accessory,附件,,2017-07-31
3204166,accessory shock,副震,,2017-07-31
3204167,accidental coincidence,偶然重叠,,2017-07-31
3204168,accidental count,偶然计数,,2017-07-31
3204169,accidental error,偶然误差,,2017-07-31
3204170,accidental radiation injury,意外辐射伤害,,2017-07-31
3204171,accretion disk,蓄积盘,,2017-07-31
3204172,accumulated angle,累积角,,2017-07-31
3204173,accumulative process,累积过程,,2017-07-31
3204174,accumulator,累积器,,2017-07-31
3204175,accuracy,准确[度],,2017-07-31
3204176,acentric distribution,无中心分布,,2017-07-31
3204177,acetylene,乙炔,,2017-07-31
3204178,achromatic coating,消色敷层；消色镀膜；消色涂层,,2017-07-31
3204179,achromatic doublet,消色差双合透镜,,2017-07-31
3204180,achromatic image,消色差像,,2017-07-31
3204181,achromatic interval,消色区间,,2017-07-31
3204182,achromatic lens,消色差透镜,,2017-07-31
3204183,achromatic objective,消色差物镜,,2017-07-31
3204184,achromatic prism,消色差棱镜,,2017-07-31
3204185,achromatic telescope,消色差望远镜,,2017-07-31
3204186,achromatic threshold,消色差底限,,2017-07-31
3204187,achromatism,消色差[性],,2017-07-31
3204188,acicular crystal,针状晶体,,2017-07-31
3204189,acid,酸,,2017-07-31
3204190,acidity,酸性；酸度,,2017-07-31
3204191,acidity constant,酸度常数,,2017-07-31
3204192,aclinic line,无倾线,,2017-07-31
3204193,acorn tube,橡实形[电子]管,,2017-07-31
3204194,acoumeter,测听计；听力计,,2017-07-31
3204195,acoumetry,测听术,,2017-07-31
3204196,acousimeter,测听计；听力计,,2017-07-31
3204197,acoustic absorptivity,吸音系数,,2017-07-31
3204198,acoustic admittance,声导纳,,2017-07-31
3204199,acoustic analysis,声学分析,,2017-07-31
3204200,acoustic birefringence,声致双折射,,2017-07-31
3204201,acoustic branch,声频支,,2017-07-31
3204202,acoustic capacitance,声容,,2017-07-31
3204203,acoustic compliance,声顺,,2017-07-31
3204204,acoustic conductance,声导,,2017-07-31
3204205,acoustic dispersion,声频散,,2017-07-31
3204206,acoustic emission,声发射,,2017-07-31
3204207,acoustic filter,滤声器,,2017-07-31
3204208,acoustic frequency,声频,,2017-07-31
3204209,acoustic grating,声栅,,2017-07-31
3204210,acoustic image,声像,,2017-07-31
3204211,acoustic impedance,声阻抗,,2017-07-31
3204212,acoustic loss,声损耗,,2017-07-31
3204213,acoustic phonon,[声学的]声子,,2017-07-31
3204214,acoustic phonon scattering,声子散射,,2017-07-31
3204215,acoustic reactance,声抗,,2017-07-31
3204216,acoustic resonance,[声]共鸣,,2017-07-31
3204217,acoustic scattering,声散射,,2017-07-31
3204218,acoustic sounding,声测,,2017-07-31
3204219,acoustic stiffness,声坚度；声坚性,,2017-07-31
3204220,acoustic susceptance,声导纳,,2017-07-31
3204221,acoustic velocity,声速,,2017-07-31
3204222,acoustic wave,声波,,2017-07-31
3204223,acoustical attenuation constant,声衰灭常数,,2017-07-31
3204224,acoustical circuit,声「路」,,2017-07-31
