ID,英文名稱,中文名稱,圖片,化學式,更新日期
617473,β-furanylboric acid,<I>β-呋喃硼酸</I>,,(C<Sub>4</Sub>H<Sub>3</Sub>O)B(OH)<Sub>2</Sub>,2012-11-26
617474,zirconyl sulfate,硫酸氧锆(IV),,"<Font html:Color=""#000000"">ZrOSO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617475,zirconyl sulfide,硫化氧锆(IV),,ZrOS,2012-11-26
617476,β-chlorovinylarsine chloride,二氯化β-氯乙烯胂,,"<Font html:Color=""#000000"">ClCH=CHAsCl</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617477,β-chlorovinyldichloroarsine,β-氯乙烯二氯胂,,"<Font html:Color=""#000000"">ClCH=CHAsCl</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617478,zirconyl nitrate,硝酸氧锆(IV),,"<Font html:Color=""#000000"">ZrO(NO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617479,zirconyl pyrophosphate,焦磷酸氧锆,,"<Font html:Color=""#000000"">(ZrO)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">P</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
617480,zirconyl iodide,碘化氧锆(IV),,"<Font html:Color=""#000000"">ZrOI</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617481,zirconyl metaphosphate,偏磷酸氧锆(IV),,"<Font html:Color=""#000000"">ZrO(HPO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617482,zirconyl dihydrogen phosphate,二氢磷酸氧锆(IV),,"<Font html:Color=""#000000"">ZrO(H</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">PO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617483,zirconyl hydroxide,氢氧化氧锆(IV),,"<Font html:Color=""#000000"">ZrO(OH)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617485,zirconyl,氧锆基,,&gt;ZrO,2012-11-26
617486,zirconyl bromide,溴化氧锆(IV),,"<Font html:Color=""#000000"">ZrOBr</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617487,zirconyl carbonate,碳酸氧锆,,"<Font html:Color=""#000000"">ZrOCO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617488,zirconyl chloride,氯化氧锆,,"<Font html:Color=""#000000"">ZrOCl</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
