ID,英文名稱,中文名稱,圖片,審譯日期,來源,更新日期
5448313,1-hydroxy-2-naphthoic acid,1-羟基-2-萘甲酸；昔萘酸,,102.08.13,nan,2023-01-17
5448314,"3,5-dinitroanaline urea","3,5-二硝基苯胺脲",,108.04.25,nan,2023-01-17
5448315,"3,5-dinitrobenzoyl","3,5-二硝基苯甲醯基",,108.04.25,nan,2023-01-17
5448316,3D structure,三维结构,,102.12.05,nan,2023-01-17
5448317,6-deoxyhexoses,6-去氧己糖,,106.06.13,nan,2023-01-17
5448318,7-iodo-8-hydroxyquinoline-5-sulfonic acid,碘羟基喹啉磺酸,,101.04.12,nan,2023-01-17
5448319,Abbe refractometer,阿贝折射计,,102.03.14,中华无菌制剂协会,2025-04-09
5448320,abbreviated new drug application {=ANDA},简化新药申请,,107.01.18,Remington,2023-01-17
5448321,abirasterone acetate,阿比特龙乙酸酯,,107.10.18,nan,2023-01-17
5448322,abnormality,异常,,nan,nan,2023-01-17
5448323,aborticide,堕胎药,,nan,nan,2023-01-17
5448324,abortient,堕胎药,,nan,nan,2023-01-17
5448325,abortifacient,堕胎药,,nan,nan,2023-01-17
5448326,abscess,脓肿；脓疡,,nan,nan,2023-01-17
5448327,absence seizure,意识丧失型癫痫；失神型癫痫,,nan,nan,2023-01-17
5448328,absinthium,苦艾,,103.06.19,nan,2023-01-17
5448329,absolute alcohol,无水乙醇；绝对酒精,,nan,nan,2025-04-09
5448330,absolute bioavailability,绝对生体可用率,,nan,nan,2023-01-17
5448331,absolute configuration,绝对构型,,nan,nan,2023-01-17
5448332,absolute lethal concentration,绝对致死浓度,,nan,nan,2023-01-17
5448333,absolute lethal dose,绝对致死剂量,,nan,nan,2023-01-17
5448334,absorbable surgical suture,可吸收性外科缝线,,105.08.16,nan,2023-01-17
5448335,absorbance,吸光度,,nan,nan,2023-01-17
5448336,absorbance ratio,吸光度比,,nan,nan,2023-01-17
5448337,absorbance ratio method,吸光度比测定法,,nan,nan,2023-01-17
5448338,absorbent,吸收剂,,nan,nan,2023-01-17
5448339,absorbent cotton,脱脂棉；吸附棉,,nan,nan,2023-01-17
5448340,absorber,吸收剂,,nan,nan,2023-01-17
5448341,absorption,吸收,,nan,国编馆,2023-01-17
5448342,absorption base,吸收基剂,,nan,nan,2023-01-17
5448343,absorption enhancer,吸收增进剂,,nan,nan,2023-01-17
5448344,absorption fraction,吸收分率,,nan,nan,2023-01-17
5448345,absorption of drug,药物吸收,,nan,nan,2023-01-17
5448346,abstinence,禁断,,101.12.12,国立编译馆,2023-01-17
5448347,abstinence reaction,戒断反应,,nan,nan,2023-01-17
5448348,abstinence syndrome,禁断症候群,,nan,nan,2023-01-17
5448349,abuse,滥用,,nan,nan,2023-01-17
5448350,acacia,阿拉伯胶,,101.02.09,nan,2023-01-17
5448351,acanthopanax root bark {Acanthopanacis Cortex},五加皮,,106.12.14,中医药,2023-01-17
5448352,acatalasia,过氧化氢酶缺乏症,,nan,nan,2023-01-17
5448353,accelerated stability test,安定性加速试验,,nan,nan,2023-01-17
5448354,accelerated testing,加速试验,,105.10.20,GMP,2023-01-17
5448355,accelerator,加速器,,103.11.20,GMP,2023-01-17
5448356,acceptable daily intake {=ADI},每日允许摄取量,,107.01.18,nan,2023-01-17
5448357,acceptable intake,容许摄取量,,106.11.09,ICH M7,2023-01-17
5448358,acceptable limit,容许限量,,106.11.09,ICH M7,2023-01-17
5448359,acceptance criteria,允收基准,,106.03.14,GMP,2023-01-17
5448360,acceptance sampling,允收抽样,,104.06.11,Remington,2023-01-17
5448361,acceptor,受体,,nan,nan,2023-01-17
5448362,accumulative toxicity,蓄积毒性,,nan,nan,2023-01-17
5448363,accuracy,准确性,,103.11.20,GMP,2023-01-17
5448364,acetaminophen,乙醯胺酚,,nan,nan,2025-01-10
5448365,acetate-malonate pathway,乙酸-丙二酸途径,,nan,nan,2023-01-17
5448366,acetate-mevalonate pathway,乙酸-甲基二羟戊酸途径,,nan,nan,2023-01-17
5448367,acetic acid,乙酸,,107.05.14,通则试药与溶液,2023-01-17
5448368,acetic anhydride,乙酐,,107.05.14,通则试药与溶液,2023-01-17
5448369,acetone,丙酮,,107.05.14,通则试药与溶液,2023-01-17
5448370,acetonitrile,乙腈,,107.05.14,通则试药与溶液,2023-01-17
5448371,acetyl,乙醯,,106.06.13,nan,2023-01-17
5448372,acetylcholinesterase inhibitor,乙醯胆碱酯酶抑制剂,,nan,nan,2023-01-17
5448373,achiral molecule,非手性分子,,nan,nan,2023-01-17
5448374,achyranthes root {Achyranthis Bidentatae Radix},牛膝,,103.06.19,中医药,2023-01-17
5448375,acid,酸,,nan,nan,2023-01-17
5448376,acid rebound,胃酸回弹,,102.03.14,中华无菌制剂协会,2023-01-17
5448377,acid value,酸价,,nan,nan,2023-01-17
5448378,acid-base balance,酸碱平衡,,nan,nan,2023-01-17
5448379,acidic mucopolysaccharide,酸性黏多糖,,nan,nan,2023-01-17
5448380,acidified iodoplatinate solution,酸化碘铂酸盐溶液,,nan,nan,2023-01-17
5448381,acidifiers,酸化剂,,104.06.11,Remington,2023-01-17
5448382,acidifying agent,酸化剂,,nan,nan,2023-01-17
5448383,acid-insoluble ash,酸不溶性灰分,,nan,nan,2023-01-17
5448384,acidity,酸度,,nan,nan,2023-01-17
5448385,acid-neutralizing capacity,酸中和能力,,nan,nan,2023-01-17
5448386,Acidophilus,乳酸菌属,,107.01.18,健康食品,2023-01-17
5448387,acidosis,酸中毒,,nan,nan,2023-01-17
5448388,aconite,乌头；附子,,nan,国编馆,2023-01-17
5448389,aconite root {Aconiti Lateralis Radix Praeparata},乌头；附子,,106.12.14,中医药,2023-01-17
5448390,acorus root {Acori Tatarinowii Rhizoma},石菖蒲,,103.06.19,中医药,2023-01-17
5448391,acquired immune deficiency syndrome（AIDS）,后天免疫缺乏症候群；爱滋病,,nan,nan,2025-01-10
5448392,acquired immunodeficiency syndrome {=AIDS},后天免疫不全症候群 {爱滋病},,107.01.18,Remington,2023-01-17
5448393,acridine alkaloid,吖啶生物碱,,nan,nan,2023-01-17
5448394,acrolein,丙烯醛,,102.03.14,中华无菌制剂协会,2023-01-17
5448395,acromegaly,肢端肥大症,,nan,nan,2023-01-17
5448396,actin,肌动蛋白,,nan,nan,2023-01-17
5448397,Actinomyces,放线菌属,,107.01.18,nan,2023-01-17
5448398,actinophage,放线菌噬菌体,,107.01.18,nan,2023-01-17
5448399,action,作用,,nan,国编馆,2023-01-17
5448400,action level,行动阈值,,105.10.20,GMP,2023-01-17
5448401,action limit,启动门槛,,103.11.20,GMP,2023-01-17
5448402,action potential,动作电位,,101.11.14,中华无菌制剂协会,2023-01-17
5448403,activated carbon,活性碳,,104.09.10,Remington,2023-01-17
5448404,activated charcoal,活性碳,,104.09.10,Remington,2023-01-17
5448405,activation,活化,,nan,nan,2023-01-17
5448406,activation energy,活化能,,nan,nan,2023-01-17
5448407,activator,活化剂,,nan,nan,2023-01-17
5448408,active center,活性中心,,nan,nan,2023-01-17
5448409,active ingredient,活性成分,,nan,nan,2023-01-17
5448410,active pharmaceutical ingredients {=API},原料药,,107.01.18,nan,2023-01-17
5448411,active principle,有效成分；活性成分,,nan,nan,2023-01-17
5448412,active site,活性部位,,nan,nan,2023-01-17
5448413,active substance,活性物质,,nan,nan,2023-01-17
5448414,active substance gas,气体原料药,,103.11.20,GMP,2023-01-17
5448415,active transport,主动运输,,103.01.16,中华无菌制剂协会,2023-01-17
5448416,activity,活性,,nan,nan,2023-01-17
5448417,activity coefficient,活性系数,,104.06.11,Remington,2023-01-17
5448418,actuators,致动器,,104.06.11,Remington,2023-01-17
5448419,acupuncture,针灸,,104.06.11,Remington,2023-01-17
5448420,acute toxicity,急性毒性,,nan,nan,2023-01-17
5448421,acute toxicity classification,急性毒性分类,,nan,nan,2023-01-17
5448422,added qualifications process,附加验证过程,,104.06.11,Remington,2023-01-17
5448423,addiction,成瘾,,nan,nan,2023-01-17
5448424,Addison's disease,爱迪生氏病,,107.01.18,nan,2023-01-17
5448425,addition,加成,,nan,nan,2023-01-17
5448426,additive,添加物,,nan,nan,2023-01-17
5448427,additivity,加成性,,nan,nan,2023-01-17
5448429,adenyl cyclase,腺苷酸环化酶,,nan,nan,2023-01-17
5448430,adhesional force,黏著力,,107.01.18,Remington,2023-01-17
5448431,adhesive plaster,绊创膏,,nan,国编馆,2023-01-17
5448432,adhesive tapes,贴布；胶布,,104.07.09,Remington,2023-01-17
5448433,adjuvants,佐剂,,101.02.09,nan,2023-01-17
5448434,administration,投药；用药；给药,,102.05.13,nan,2023-01-17
5448435,administration route,投药途径；用药途径,,102.05.13,nan,2023-01-17
5448436,administration sets,投药套件,,104.06.11,Remington,2023-01-17
5448437,administration time,投药时间；用药时间,,102.05.13,nan,2023-01-17
5448438,admixture,加药配液,,nan,nan,2023-01-17
5448439,adrenal,肾上腺的,,104.06.11,Remington,2023-01-17
5448440,adrenal cortex,肾上腺皮质,,nan,nan,2023-01-17
5448441,adrenal medulla,肾上腺髓质,,nan,nan,2023-01-17
5448442,adrenal steroid,肾上腺类固醇,,nan,nan,2023-01-17
5448443,adrenalectomy,肾上腺切除术,,nan,nan,2023-01-17
5448444,adrenaline,肾上腺素,,nan,国编馆,2023-01-17
5448445,adrenergic agonist,肾上腺素致效剂,,nan,nan,2023-01-17
5448446,adrenoceptor,肾上腺素受体,,nan,nan,2023-01-17
5448447,adrenocortical,肾上腺皮质的,,104.06.11,Remington,2023-01-17
5448448,adrenocortical hormones,肾上腺皮质激素,,nan,nan,2023-01-17
5448449,adrenocorticoids,肾上腺皮质激素类药,,nan,nan,2023-01-17
5448450,adrenocorticotropic hormone {=ACTH},促肾上腺皮质激素,,107.01.18,nan,2023-01-17
5448451,adrenogenital symdrome,肾上腺性生殖器症候群,,107.01.18,nan,2023-01-17
5448452,adrenomimetics,拟肾上腺素剂,,nan,nan,2023-01-17
5448453,adrenoreceptor antagonist,肾上腺素受体拮抗剂,,nan,nan,2023-01-17
5448454,adrenoreceptor blocker,肾上腺素受体阻断剂,,nan,nan,2023-01-17
5448455,adsorbate,被吸附物,,nan,nan,2023-01-17
5448456,adsorbent,吸附剂,,nan,nan,2023-01-17
5448457,adsorption,吸附,,nan,nan,2023-01-17
5448458,adulterant,掺杂物；伪药,,nan,nan,2023-01-17
5448459,advance therapeutic medicinal products {=ATMP},新兴治疗药品,,107.01.18,GMP,2023-01-17
5448460,adventitious virus,外源病毒；外来病毒,,103.11.20,GMP,2023-01-17
5448461,adverse drug reaction {=ADR},药物不良反应,,107.01.18,nan,2023-01-17
5448462,adverse effect,不良效应；副作用,,102.07.16,nan,2023-01-17
5448463,adverse event,不良事件,,103.12.18,GMP,2023-01-17
5448464,aerosol,气化喷雾剂；气雾剂,,nan,nan,2023-01-17
5448465,aerosol for external use,外用气化喷雾剂；外用气雾剂,,nan,nan,2023-01-17
5448466,affinity,亲和力；亲和性,,nan,nan,2023-01-17
5448467,affinity chromatography,亲和[性]层析法,,nan,nan,2023-01-17
5448468,after effect,后遗效应,,nan,nan,2023-01-17
5448469,agar,琼脂,,nan,国编馆,2023-01-17
5448470,agar block method,琼脂块法,,nan,nan,2023-01-17
5448471,agar diffusion method,琼脂扩散法,,nan,nan,2023-01-17
5448472,agar diffusion test,琼脂扩散试验,,104.06.11,Remington,2023-01-17
5448473,agaric {Polyporus},猪苓,,103.08.14,nan,2023-01-17
5448474,agarose gel,琼脂糖凝胶,,nan,nan,2023-01-17
5448475,agglutination,凝集,,nan,nan,2023-01-17
5448476,aggregation,聚集,,nan,nan,2023-01-17
5448477,aging,老化,,nan,nan,2023-01-17
5448478,agitator shaft speed,搅拌轴转速,,nan,nan,2023-01-17
5448479,aglycon,苷元,,nan,nan,2023-01-17
5448480,agonism,致效作用,,nan,nan,2023-01-17
5448481,agonist,致效剂,,nan,nan,2023-01-17
5448482,agranulocytosis,颗粒性白血球缺乏症,,2020.02.25,nan,2025-04-09
5448483,agricultural antibiotics,农用抗生素,,107.01.18,nan,2023-01-17
5448484,agrimony {Agrimoniae Herba},仙鹤草,,103.06.19,中医药,2023-01-17
5448485,aids,辅助剂,,104.06.11,Remington,2023-01-17
5448486,air changes,换气数；换气量,,103.11.20,GMP,2023-01-17
5448487,air changes per hour {=ACPH},换气率,,107.01.18,GMP,2023-01-17
5448488,air dry,空气中干燥,,105.06.20,nan,2023-01-17
5448489,air filter,空气过滤器,,nan,nan,2023-01-17
5448490,air flow,气流,,nan,nan,2023-01-17
5448491,air lock,气锁室,,103.11.20,GMP,2023-01-17
5448492,air sampler,空气取样器,,103.11.20,GMP,2023-01-17
5448493,air separation,空气分离,,103.11.20,GMP,2023-01-17
5448494,airborne particle,浮游微粒,,nan,nan,2023-01-17
5448495,airborne particulate count,微尘粒计数‎,,103.11.20,GMP,2023-01-17
5448496,airborne viable particulate count,附尘微生物计数‎,,103.11.20,GMP,2023-01-17
5448497,air-disinfectant aerosol,空气消毒气化喷雾剂；空气消毒气雾剂,,nan,nan,2023-01-17
5448498,air-handling unit {=AHU},空气处理器；空气处理机组,,107.01.18,GMP,2023-01-17
5448499,airlock,气锁室,,103.11.20,GMP,2023-01-17
5448500,akathisia,静坐不能,,nan,nan,2023-01-17
5448501,akinesia,运动不能,,nan,nan,2023-01-17
5448502,alcohol,乙醇；酒精,,nan,nan,2023-01-17
5448503,alcohol abuse,酒精滥用,,104.07.09,nan,2023-01-17
5448504,alcohol dependence,酒精依赖,,104.07.09,Remington,2023-01-17
5448505,alcoholic glycoside,醇苷,,nan,nan,2023-01-17
5448506,alcoholism,酒精中毒症,,107.01.18,nan,2023-01-17
5448507,aldehyde glycoside,醛苷,,nan,nan,2023-01-17
5448508,aldose,醛糖,,nan,nan,2023-01-17
5448509,aldose reductase inhibitor,醛糖还原酶抑制剂,,nan,nan,2023-01-17
5448510,aldosterone antagonist,醛固酮拮抗剂,,nan,nan,2023-01-17
5448511,aldosterone inhibitor,醛固酮抑制剂,,nan,nan,2023-01-17
5448512,aldosterones,醛固酮类药,,nan,nan,2023-01-17
5448513,aldosteronism,醛固酮症,,nan,nan,2023-01-17
5448514,alduronic acid,糖醛酸,,nan,nan,2023-01-17
5448515,alert level,警戒值；警戒层次,,103.11.20,GMP,2023-01-17
5448516,alert limit,警戒门槛,,103.11.20,GMP,2023-01-17
5448517,aleurone grain,糊粉粒,,nan,nan,2023-01-17
5448518,alfalfa,苜蓿,,107.01.18,健康食品,2023-01-17
5448519,alisma tuber {Alismatis Rhizoma},泽泻,,103.06.19,中医药,2023-01-17
5448520,alizarin viridin,茜素绿,,nan,nan,2023-01-17
5448521,alkali halides {alkali metal halide},碱金属卤化物,,107.08.17,nan,2023-01-17
5448522,alkalinity,碱度,,nan,nan,2023-01-17
5448523,alkaloids,生物碱,,nan,国编馆,2023-01-17
5448524,alkanol,烷醇,,108.04.25,nan,2023-01-17
5448525,alkoxy determination,烷氧基测定,,nan,nan,2023-01-17
5448526,alkyl amide group,烷基醯胺基,,108.04.25,nan,2023-01-17
5448527,alkyl ligand,烷基配体,,108.04.25,nan,2023-01-17
5448528,alkylating agent,烷化剂,,nan,nan,2023-01-17
5448529,allantoin,尿囊素,,104.07.09,Remington,2023-01-17
5448530,allergen,过敏原,,nan,nan,2023-01-17
5448531,allergoids,类过敏原；减敏蛋白,,103.11.20,GMP,2023-01-17
5448532,allergy,过敏,,nan,nan,2023-01-17
5448533,allied drug,类似药,,nan,nan,2023-01-17
5448534,alligation alternate,交替混合法,,104.08.13,Remington,2023-01-17
5448535,allogeneic donation,全血捐赠,,103.11.20,GMP,2023-01-17
5448536,allosteric effect,异位效应,,nan,nan,2023-01-17
5448537,allowable residue limit,容许残留限量,,nan,nan,2023-01-17
5448538,aloe,芦荟,,103.06.19,中医药,2023-01-17
5448539,alopecia,秃头,,nan,nan,2023-01-17
5448540,alternate sample retention site（ASR site）,备用样品保留处,,nan,nan,2025-01-10
5448541,alternative medicine,另类医学,,104.07.09,Remington,2023-01-17
5448542,alternatives,另类药物,,nan,国编馆,2023-01-17
5448543,alum,明矾；白矾,,nan,国编馆,2023-01-17
5448544,alumina,氧化铝,,nan,nan,2023-01-17
5448545,alumina column chromatography,氧化铝柱层析法,,nan,nan,2023-01-17
5448546,aluminium trichloride,氯化铝,,107.05.14,通则试药与溶液,2023-01-17
5448547,alveolar,肺泡的,,104.07.09,Remington,2023-01-17
5448548,Alzheimer's disease,退化性痴呆症；阿滋海默症,,nan,nan,2023-01-17
5448549,amaranth,苋红,,nan,nan,2023-01-17
5448550,ambulatory patient care,门诊病人照护,,104.07.09,Remington,2023-01-17
5448551,ambulatory pharmacists,门诊药师,,104.07.09,Remington,2023-01-17
5448552,amenorrhea,无月经,,nan,nan,2023-01-17
5448553,American ginseng,西洋参；花旗参；粉光[参],,103.06.19,中医药,2023-01-17
5448554,Ames test,安氏试验 {细菌突变试验},,nan,nan,2023-01-17
5448555,aminated latex,胺化乳胶,,108.04.25,nan,2023-01-17
5448556,amino-,胺[基],,105.06.20,nan,2023-01-17
5448557,amino acid,胺基酸,,nan,nan,2023-01-17
5448558,amino acid composition analyzer,胺基酸组成分析仪,,107.01.18,nan,2023-01-17
5448559,amino acids,胺基酸,,105.05.24,Remington,2023-01-17
5448560,amino chemically bonded silica,胺基键结矽胶,,nan,nan,2023-01-17
5448561,amino sugar,胺基糖,,nan,nan,2023-01-17
5448562,aminoacetic acid {glycine},甘胺酸,,107.01.18,nan,2023-01-17
5448563,aminoanthraquinone dyes,胺基蒽醌类染料,,nan,nan,2023-01-17
5448564,aminocyclitols,胺基环醇类,,nan,nan,2023-01-17
5448565,aminoglycoside antibiotics,胺基苷类抗生素,,nan,nan,2023-01-17
5448566,aminoglycosides,胺基苷类,,nan,nan,2023-01-17
5448567,aminopropyl silica,胺丙基矽石,,108.04.25,nan,2023-01-17
5448568,aminopropylsilane,胺丙基矽烷,,108.03.14,nan,2023-01-17
5448569,aminotransferase,胺基转移酶,,nan,nan,2023-01-17
5448570,ammoniated mercury,白降汞,,nan,国编馆,2023-01-17
5448571,ammonium acetate,乙酸铵,,2019.08.12,nan,2025-04-09
5448572,ammonium chloride,氯化铵,,103.02.13,国立编译馆,2023-01-17
5448573,ammonium reineckate,硫氰基二氨铬酸铵；雷氏铵,,2019.08.12,nan,2025-04-09
5448574,ammonium sulfamate,胺磺酸铵,,nan,nan,2023-01-17
5448575,ammonium sulfate fractionation,硫酸铵分划法,,nan,nan,2023-01-17
5448576,amnesia,健忘症,,nan,nan,2023-01-17
5448577,amoebic dysentery,阿米巴痢疾,,107.01.18,nan,2023-01-17
5448578,amoebicides,灭阿米巴剂,,107.01.18,nan,2023-01-17
5448579,amomum,砂仁,,103.06.19,中医药,2023-01-17
5448580,amorphous,非晶形的；不定形的,,104.07.09,Remington,2023-01-17
5448581,ampholyte,两性电解质,,nan,nan,2023-01-17
5448582,amphoteric,两性的,,104.07.09,Remington,2023-01-17
5448583,amphoteric surfactants,两性界面活性剂,,104.07.09,nan,2023-01-17
5448584,amphotericin B,节丝菌素B,,nan,化学药品,2023-01-17
5448586,amplification,扩增作用,,107.08.17,nan,2023-01-17
5448587,ampoule,安瓿,,nan,nan,2023-01-17
5448588,ampul,安瓿,,nan,nan,2023-01-17
5448589,ampule,安瓿,,nan,nan,2023-01-17
5448590,ampule filling,安瓿充填,,nan,nan,2023-01-17
5448591,ampule filling and sealing machine,安瓿充填熔封机,,nan,nan,2023-01-17
5448592,ampule sealing,安瓿熔封,,nan,nan,2023-01-17
5448593,amyl alcohol,戊醇,,nan,nan,2023-01-17
5448594,amylase,淀粉酶,,104.07.09,Remington,2023-01-17
5448595,Amylopectin,分支葡聚糖；分支聚葡糖,,2025-07-21 00:00:00,nan,2025-12-04
5448596,amylose,直链型淀粉,,nan,nan,2023-01-17
5448597,anabolic steroids,蛋白同化类固醇,,nan,nan,2023-01-17
5448598,anaerobes,厌氧菌,,nan,nan,2023-01-17
5448599,analeptics,苏醒剂(药),,107.01.18,nan,2023-01-17
5448600,analgesics,镇痛剂(药),,107.01.18,nan,2023-01-17
5448601,analogs,结构类似物,,nan,nan,2023-01-17
5448602,analogues,结构类似物,,nan,nan,2023-01-17
5448603,analysis of variance {=ANOVA},变异数分析,,nan,nan,2023-01-17
5448604,analytical balances,分析天平,,104.07.09,Remington,2023-01-17
5448605,analytical instrument qualification,分析仪器验证,,107.08.17,nan,2023-01-17
5448606,anaphylactic response,急性过敏反应,,nan,nan,2023-01-17
5448607,anaphylactic shock,急性过敏性休克,,nan,nan,2023-01-17
5448608,anaphylaxis,急性过敏,,nan,nan,2023-01-17
5448609,androgenital syndrome,雄性征症候群,,nan,nan,2023-01-17
5448610,androgens,雄性激素,,nan,nan,2023-01-17
5448611,andrographis {Andrographis Herba},穿心莲,,103.06.19,中医药,2023-01-17
5448612,anemia,贫血,,nan,nan,2023-01-17
5448613,anesthetics,麻醉剂(药),,107.01.18,nan,2023-01-17
5448614,anethole,茴香脑,,nan,nan,2023-01-17
5448615,angina pectoris,心绞痛；狭心症,,nan,nan,2023-01-17
5448616,angiotensin,血管张力素；血管收缩素,,nan,nan,2023-01-17
5448617,angiotensin converting enzyme {=ACE},血管张力素转化酶,,107.01.18,nan,2023-01-17
5448618,angiotensin receptor antagonist,血管紧张素受体拮抗剂,,nan,nan,2023-01-17
5448619,angiotensin receptor blocker {=ARB},血管张力素受体阻断剂,,104.07.09,Remington,2023-01-17
5448620,angiotensinogen,血管张力素原,,nan,nan,2023-01-17
5448621,angle of repose,安息角,,nan,nan,2023-01-17
5448622,anhydrous lanolin,无水羊毛脂,,nan,nan,2023-01-17
5448623,aniline,苯胺,,nan,国编馆,2023-01-17
5448624,anion exchange membrane,阴离子交换膜,,nan,nan,2023-01-17
5448625,anion exchange resin,阴离子交换树脂,,nan,nan,2023-01-17
5448626,anionic exchange resin,阴离子交换树脂,,102.03.14,中华无菌制剂协会,2023-01-17
5448627,anionic surfactants,阴离子界面活性剂,,104.07.09,Remington,2023-01-17
5448628,anise,茴香,,nan,nan,2023-01-17
5448629,anisotropic,异向性,,nan,nan,2023-01-17
5448630,annual product review,年度产品检讨,,103.11.20,GMP,2023-01-17
5448631,anoint,涂药膏,,103.02.13,nan,2023-01-17
5448632,anomer,变旋异构体,,nan,nan,2023-01-17
5448633,anorexia,厌食症,,nan,nan,2023-01-17
5448634,anorexiants,厌食剂,,nan,nan,2023-01-17
5448635,anphidrotics,止汗药,,107.01.18,nan,2023-01-17
5448636,ansamycins,安沙霉素类,,nan,nan,2023-01-17
5448637,antacids,制酸剂,,nan,nan,2023-01-17
5448638,antagonism,拮抗作用,,nan,国编馆,2023-01-17
5448639,antagonist,拮抗剂,,nan,nan,2023-01-17
5448640,anterior pituitary hormones,脑下垂体前叶激素类,,nan,nan,2023-01-17
5448641,anthelmintics,驱蠕虫剂,,nan,nan,2023-01-17
5448642,anthocyanidin,花青素,,nan,nan,2023-01-17
5448643,anthocyanin,花青苷,,nan,nan,2023-01-17
5448644,anthracyclic antibiotics,蒽环类抗生素,,nan,nan,2023-01-17
5448645,anthranol,蒽酚,,nan,nan,2023-01-17
5448646,anthraquinone glycoside,蒽醌苷,,nan,nan,2023-01-17
5448647,anthraquinones,葱醌类,,nan,国编馆,2023-01-17
5448648,anthrone,蒽酮,,nan,nan,2023-01-17
5448649,antiacne,抗痤疮剂,,nan,nan,2023-01-17
5448650,antiadrenergics,抗肾上腺素剂(药),,107.01.18,nan,2023-01-17
5448651,anti-AIDS agents,抗爱滋病剂,,nan,nan,2023-01-17
5448652,anti-AIDS drugs,抗爱滋病药,,nan,nan,2023-01-17
5448653,anti-allergic agents,抗过敏剂,,nan,nan,2023-01-17
5448654,antiamoebics,抗阿米巴剂,,107.01.18,nan,2023-01-17
5448655,antiandrogens,抗雄激素剂,,nan,nan,2023-01-17
5448656,antianemics,抗贫血剂,,nan,nan,2023-01-17
5448657,antianginal agents,抗心绞痛剂,,nan,nan,2023-01-17
5448658,antianginal drugs,抗心绞痛药,,nan,nan,2023-01-17
5448659,antiarrhythmics,抗心律不整剂,,nan,nan,2023-01-17
5448660,antiarthritics,抗关节炎剂,,nan,国编馆,2023-01-17
5448661,antiasthmatics,平喘剂,,nan,nan,2023-01-17
5448662,antiatherosclerotic,抗动脉粥样硬化剂,,nan,nan,2023-01-17
5448663,antibacterial agents,抗菌剂,,nan,nan,2023-01-17
5448664,antibiotics,抗生素,,nan,nan,2023-01-17
5448665,antibody,抗体,,nan,nan,2023-01-17
5448666,antibradycardiac agents,抗心搏徐缓剂,,nan,nan,2023-01-17
5448667,antibromics,防臭剂；除臭剂,,nan,国编馆,2023-01-17
5448668,anticholelithogenics,抗胆结石剂(药),,107.01.18,nan,2023-01-17
5448669,anticholinergics,抗胆碱剂(药),,107.01.18,nan,2023-01-17
5448670,anticholinesterase agents,抗胆碱酯酶剂,,nan,nan,2023-01-17
5448671,anticoagulants,抗凝血剂,,nan,nan,2023-01-17
5448672,anticonceptives,避孕药,,nan,nan,2023-01-17
5448673,anticonvulsants,抗惊厥剂(药),,107.01.18,nan,2023-01-17
5448674,antidepressants,抗忧郁剂(药),,107.01.18,nan,2023-01-17
5448675,antidiabetics,抗糖尿病药,,nan,nan,2023-01-17
5448676,antidiarrhoeal agents,止泻剂,,nan,nan,2023-01-17
5448677,antidiuretic hormone {=ADH},抗利尿激素,,107.01.18,nan,2023-01-17
5448678,antidiuretics,抗利尿剂,,nan,nan,2023-01-17
5448679,antidotes,解毒剂,,nan,国编馆,2023-01-17
5448680,anti-drug antibodies {=ADAs},抗药物抗体,,107.08.17,nan,2023-01-17
5448681,antidysenterics,抗痢疾药,,nan,nan,2023-01-17
5448682,antidyskinetics,抗运动障碍药,,nan,nan,2023-01-17
5448683,antidysmenorrheics,调经药,,nan,国编馆,2023-01-17
5448684,antieczematics,抗湿疹剂(药),,107.01.18,nan,2023-01-17
5448685,anti-edemic agents,抗水肿剂,,nan,nan,2023-01-17
5448686,antiemetics,止吐剂,,nan,国编馆,2023-01-17
5448687,anti-epileptics,抗癫痫剂(药),,107.01.18,nan,2023-01-17
5448688,anti-estrogens,抗雌激素剂,,nan,nan,2023-01-17
5448689,antifilarial agents,抗丝虫剂,,nan,nan,2023-01-17
5448690,antifilarial drugs,抗丝虫药,,nan,nan,2023-01-17
5448691,antiflatulents,抗胀气药,,nan,nan,2023-01-17
5448692,antifoaming agents,消泡剂,,nan,nan,2023-01-17
5448693,antifungal agents,抗真菌剂,,nan,nan,2023-01-17
5448694,antiglucocorticoids,抗糖皮质激素,,nan,nan,2023-01-17
5448695,antigonadotrophins,抗促性腺激素类,,nan,nan,2023-01-17
5448696,antigout agents,抗痛风剂,,nan,nan,2023-01-17
5448697,antihemophilics,抗血友病药,,nan,nan,2023-01-17
5448698,antihemorrhagics,抗出血剂,,nan,nan,2023-01-17
5448699,antihepatitis drugs,抗肝炎药,,nan,nan,2023-01-17
5448700,antihidrotics,止汗剂,,nan,国编馆,2023-01-17
5448701,antihistaminics,抗组织胺药,,nan,nan,2023-01-17
5448702,antihydrotics,止汗剂,,nan,nan,2023-01-17
5448703,antihypercholesterolemics,抗高胆固醇药,,nan,nan,2023-01-17
5448704,antihyperglycemics,抗高血糖药,,nan,nan,2023-01-17
5448705,antihyperlipidemics,抗高血脂药,,nan,nan,2023-01-17
5448706,antihyperphenylalaninemics,抗高苯丙胺酸药,,nan,nan,2023-01-17
5448707,antihypertensive agents,抗高血压药,,nan,nan,2023-01-17
5448708,anti-infective agents,抗感染剂,,nan,nan,2023-01-17
5448709,anti-inflammatory agents,消炎剂,,nan,nan,2023-01-17
5448710,anti-inflammatory drugs,消炎药,,nan,nan,2023-01-17
5448711,antikeratinizing agents,抗角质化剂,,nan,nan,2023-01-17
