ID,英文名稱,中文名稱,圖片,更新日期
6251205,acid-base disturbances,酸碱障碍,,2020-01-07
6251206,Acinetobacter,不动杆菌,,2020-01-07
6251207,Acinetobacter baumannii,鲍曼氏不动杆菌,,2020-01-07
6251208,Acinetobacter calcoaceticus,醋酸钙不动杆菌,,2020-01-07
6251209,Acinetobacter spp.,不动杆菌属,,2020-01-07
6251210,acquired coagulation disorder,后天性凝血异常,,2020-01-07
6251211,acquired coagulation protein inhibitors,后天凝血蛋白抑制物,,2020-01-07
6251212,acquired combined hyperlipidemia,后天性混和型高脂血症,,2020-01-07
6251213,acquired extrinsic hemolysis,后天性外源性溶血,,2020-01-07
6251214,acquired hypercoagulable states,后天性高凝固状态,,2020-01-07
6251215,acquired immunity,后天免疫,,2020-01-07
6251216,acquired immunodeficiency syndrome {=AIDS},后天性免疫不全症候群,,2020-01-07
6251217,acquired pure red cell aplasia,后天性纯红血球再生不良,,2020-01-07
6251218,acquired storage pool disease,后天性存储池病,,2020-01-07
6251219,Acremonium,顶孢霉菌属,,2020-01-07
6251220,acrylamide gel,丙烯醯胺凝胶,,2020-01-07
6251221,Actinomycetes,放线菌属,,2020-01-07
6251222,activated complex,活化复合体,,2020-01-07
6251223,activated partial thromboplastin time {=APTT},活化部分凝血激酶时间,,2020-01-07
6251224,activated protein C,活化蛋白C,,2020-01-07
6251225,activated protein C resistance,活化蛋白C抗性,,2020-01-07
6251226,activation energy barrier,活化能量障碍,,2020-01-07
6251227,active site,活性部位,,2020-01-07
6251228,acute basophilic leukemia,急性嗜碱性球白血病,,2020-01-07
6251229,acute biliary obstruction,急性胆道阻塞,,2020-01-07
6251230,acute coronary syndrome {=ACS},急性冠状动脉症候群,,2020-01-07
6251231,acute fulminant hepatic failure,急性猛爆性肝衰竭,,2020-01-07
6251232,acute hemolytic reactions,急性溶血反应,,2020-01-07
6251233,acute infectious lymphocytosis,急性感染性淋巴球增多症,,2020-01-07
6251234,acute inflammatory demyelinating polyneuropathy,急性发炎去髓鞘型多发性神经病变,,2020-01-07
6251235,acute intermittent porphyria {=AIP},急性间歇性紫质症,,2020-01-07
6251236,acute kidney injury,急性肾损伤,,2020-01-07
6251237,acute leukemia,急性白血病,,2020-01-07
6251238,acute lymphoblastic leukemia,急性淋巴母细胞白血病,,2020-01-07
6251239,acute megakaryoblastic leukemia,急性巨核母细胞白血病,,2020-01-07
6251240,acute monoblastic and monocytic leukemia,急性单核母细胞与单核球白血病,,2020-01-07
6251241,acute monocytic leukemia,急性单核球白血病,,2020-01-07
6251242,acute myeloblastic leukemia,急性骨髓性白血病,,2020-01-07
6251243,acute myeloid leukemia {=AML},急性骨髓性白血病,,2020-01-07
6251244,acute myeloid leukemia with myelodysplasia-related changes,骨髓化生不良相关变化之急性骨髓性白血病,,2020-01-07
6251245,acute myelomonocytic leukemia,急性骨髓单核球白血病,,2020-01-07
6251246,acute pancreatitis,急性胰脏炎,,2020-01-07
6251247,acute panmyelosis with myelofibrosis,急性全骨髓增生并骨髓纤维化,,2020-01-07
6251248,acute phase reactants,急性期反应蛋白,,2020-01-07
6251249,acute posthemorrhagic anemia,急性出血后贫血,,2020-01-07
6251250,acute promyelocytic leukemia,急性前骨髓细胞白血病,,2020-01-07
6251251,acute pulmonary infection,急性肺部感染,,2020-01-07
6251252,acute renal failure,急性肾衰竭,,2020-01-07
6251253,acyl-blocker,醯化阻断剂,,2020-01-07
6251254,adaptive immunity,后天免疫,,2020-01-07
6251255,adaptor,转接子,,2020-01-07
6251256,adaptor DNA,转接子去氧核糖核酸,,2020-01-07
6251257,Addison's disease,爱迪生氏病,,2020-01-07
6251258,addition,相加,,2020-01-07
6251259,adenocarcinoma of the colon,结肠腺癌,,2020-01-07
6251260,adenoma,腺瘤,,2020-01-07
6251261,adenomatous polyps,腺性息肉,,2020-01-07
6251262,adenomatous polyps of colon,结肠腺性息肉,,2020-01-07
6251263,adenosine deaminase,腺苷去胺酶,,2020-01-07
6251264,adenovirus,腺病毒,,2020-01-07
6251265,adhesion molecule,黏附分子,,2020-01-07
6251266,adoptive cell transfer,过继细胞输入,,2020-01-07
6251267,adrenal cortex,肾上腺皮质,,2020-01-07
6251268,adrenal glands,肾上腺,,2020-01-07
6251269,adrenal insufficiency,肾上腺机能不足,,2020-01-07
6251270,adrenal medulla,肾上腺髓质,,2020-01-07
6251271,adrenocorticotropic hormone {=ACTH},促肾上腺皮质激素,,2020-01-07
6251272,adsorption,吸附,,2020-01-07
6251273,adsorption chromatography,吸附层析法,,2020-01-07
6251274,adult T cell leukemia-lymphoma,成人T细胞白血病-淋巴瘤,,2020-01-07
6251275,advanced beneficiary notice {=ABN},给付前告知,,2020-01-07
6251276,aerial mycelium,空气传导菌丝,,2020-01-07
6251277,aerobic,嗜氧的,,2020-01-07
6251278,Aerococcus,气球菌属,,2020-01-07
6251279,Aeromonas,产气单孢菌属,,2020-01-07
6251280,afatinib,妥复克 {商品名},,2020-01-07
6251281,affinity,亲和性,,2020-01-07
6251282,affinity interaction,亲和力交互作用,,2020-01-07
6251283,African tick bite fever {=ATBF},非洲蜱咬热,,2020-01-07
6251284,agammaglobulinemia,无γ球蛋白血症,,2020-01-07
6251285,agarose gel electrophoresis,琼脂糖凝胶电泳,,2020-01-07
6251286,agglutination,凝集作用,,2020-01-07
6251287,Aggregatibacter,聚集杆菌属,,2020-01-07
6251288,Aggregatibacter actinomycetemcomitans,放线共生聚集杆菌,,2020-01-07
6251289,Aggregatibacter aphrophilus,嗜沫聚集杆菌,,2020-01-07
6251290,aggressive,攻击性的,,2020-01-07
6251291,aggressive NK cell leukemia,攻击性NK细胞白血病,,2020-01-07
6251292,agranulocytosis,颗粒性白血球缺乏症,,2020-01-07
6251293,air embolus,气栓,,2020-01-07
6251294,alanine,丙胺酸,,2020-01-07
6251295,alanine aminotransferase {=ALT},丙胺酸转胺酶,,2020-01-07
6251296,alarms and flags,警告旗,,2020-01-07
