ID,英文名稱,中文名稱,圖片,更新日期
167574,metabolic insufficiency,代谢不全,,2012-11-26
167575,metabolic alkalosis,代谢性碱中毒,,2012-11-26
167576,metabolic acidosis,代谢性酸中毒,,2012-11-26
167577,metastasis,转移,,2012-11-26
167578,mesenchymal epithelium,间质上皮,,2012-11-26
167579,menstruation,月经,,2012-11-26
167580,menstrual cycle,月经周期,,2012-11-26
167581,menopause,停经；闭经,,2012-11-26
167582,menarche,初经,,2012-11-26
167583,MEN (multiple endocrine neoplasia),多发性内分泌瘤,,2012-11-26
167584,mellituria,糖尿(症),,2012-11-26
167585,melatonin,抑黑素；褪黑激素,,2012-11-26
167586,melasma,黑皮病,,2012-11-26
167587,melanotropin (MSH),黑促素；促黑素,,2012-11-26
167588,melanotropic cell,黑促素细胞；促黑素细胞,,2012-11-26
167589,melanocyte-stimulating hormone (MSH),黑色素细胞促素；促黑素细胞素,,2012-11-26
167590,melanocyte,黑色素细胞,,2012-11-26
167591,melanin,黑色素,,2012-11-26
167592,megakaryocyte,巨核细胞,,2012-11-26
167593,medullary thyroid carcinoma (MCT),甲状腺髓质癌；髓质性甲状腺癌,,2012-11-26
167594,medullary,髓质 ( 性 ),,2012-11-26
167595,medroxyprogesterone,甲羟助孕酮,,2012-11-26
167596,mediate,媒,,2012-11-26
167597,median eminence,中突,,2012-11-26
167598,mechanism,机制,,2012-11-26
167599,McCune-Albright syndrome,马－亚二氏症,,2012-11-26
167600,McArdle's disease,麦克阿德尔氏病,,2012-11-26
167601,maturity-onset diabetes of the young (MODY),年轻人成年型糖尿病,,2012-11-26
167602,maternal deprivation syndrome,失母症,,2012-11-26
167603,mast cell,肥胖细胞,,2012-11-26
167604,masculinization,雄性化,,2012-11-26
167605,Maroteaux-Lamy syndrome,马－拉二氏症,,2012-11-26
167606,Marie's disease,马丽氏病,,2012-11-26
167607,Marfan's syndrome,马方氏症,,2012-11-26
167608,marasmus,消瘦,,2012-11-26
167609,maple syrup urine disease,枫糖浆尿病,,2012-11-26
167610,mannose-6-phosphate receptor,甘露糖-6-磷酸受器,,2012-11-26
167611,mammotropin,促乳素；乳促素；泌乳素,,2012-11-26
167612,adolescent mammoplasia,青春期乳腺发育,,2012-11-26
167613,mammoplasia,乳房发育,,2012-11-26
167614,mammogenic hormone,促乳腺素；乳腺促素,,2012-11-26
167615,mammogen,促乳腺素；乳腺促素,,2012-11-26
167616,malnutrition,营养不良,,2012-11-26
167617,malabsorption syndrome,吸收不良症,,2012-11-26
167618,major histocompatibility complex(MHC),主要组织相容复合体,,2012-11-26
167619,magnetic resonance imaging (MRI),磁振造影,,2012-11-26
167620,macrosomia,巨体,,2012-11-26
167621,macrophallus,巨阴茎,,2012-11-26
167622,macrophage growth factor,巨噬细胞生长因子,,2012-11-26
