ID,英文名稱,中文名稱,圖片,審譯日期,更新日期
6254947,digital radiography {=DR},数位放射摄影(术),,,2020-01-07
6254948,digital subtraction angiography {=DSA},数位减赘血管摄影,,,2020-01-07
6254949,digital to analog convertor,数位类比变换器,,,2020-01-07
6254950,direct action,直接作用,,,2020-01-07
6254951,direct digital radiography,直接数位放射摄影(术),,,2020-01-07
6254952,direct ionizing radiation,直接游离辐射,,,2020-01-07
6254953,directional dependence,方向依赖性；方向依存性,,,2020-01-07
6254954,discetomy,椎间盘切除术,,,2020-01-07
6254955,discography,椎间盘摄影(术),,,2020-01-07
6254956,disease-free survival,无病存活期,,,2020-01-07
6254957,disintegration rate,蜕变率,,,2020-01-07
6254958,dislocation,脱位；脱臼,,,2020-01-07
6254959,displaced fracture,错位型骨折,,,2020-01-07
6254960,displacement,位移,,,2020-01-07
6254961,distal tubule,远端小管,,,2020-01-07
6254962,diverging collimator,发散准直仪,,,2020-01-07
6254963,diverging type,发散式,,,2020-01-07
6254964,doclecanetetraacetic acid {=DOTA},十二烷四醋酸,,,2020-01-07
6254965,dopa,多巴,,,2020-01-07
6254966,dopamine,多巴胺,,,2020-01-07
6254967,dopamine-2-receptor,多巴胺-2-受体,,,2020-01-07
6254968,dopaminergic,多巴胺的,,,2020-01-07
6254969,Doppler ultrasound,都卜勒超音波,,,2020-01-07
6254970,dorso-plantar direction,背跖方向；足背足底方向,,,2020-01-07
6254971,dose attenuation correction,剂量衰减校正,,,2020-01-07
6254972,dose calibrators,剂量校正仪,,,2020-01-07
6254973,dose distribution,剂量分布,,,2020-01-07
6254974,dose equivalent {=DE},剂量当量,,,2020-01-07
6254975,dose rate,剂量率,,,2020-01-07
6254976,dose rate dependence,剂量依赖性；剂量依存性,,,2020-01-07
6254977,dose rate effect,剂量率效应,,,2020-01-07
6254978,dose ratemeter,剂量率仪,,,2020-01-07
6254979,dose reduction factor {=DRF},剂量减弱系数,,,2020-01-07
6254980,dose reduction ratio,剂量减弱率,,,2020-01-07
6254981,dose response curve,剂量反应曲线,,,2020-01-07
6254982,dose volume histogram {=DVH},剂量体积直方图,,,2020-01-07
6254983,dose-length product {=DLP},剂量-长度乘积,,,2020-01-07
6254984,dose-modifying factor {=DMF},剂量-修正系数,,,2020-01-07
6254985,dose-response curve,剂量-效应曲线,,,2020-01-07
6254986,dosimeter,剂量计,,,2020-01-07
6254987,dosimetrist,剂量师,,,2020-01-07
6254988,dosimetry,剂量测定术,,,2020-01-07
6254989,double antibody method,双抗体法,,,2020-01-07
6254990,double contrast method,双重对比造影法,,,2020-01-07
6254991,double focus X-ray tube,双焦点X光管,,,2020-01-07
6254992,double fracture of shafts of ulna and radius,尺桡骨干双骨折,,,2020-01-07
6254993,double helix,双螺旋,,,2020-01-07
6254994,double line sign,双线征,,,2020-01-07
6254995,double-contrast barium study,双重对比钡剂检查,,,2020-01-07
6254996,doubling dose,倍增剂量,,,2020-01-07
6254997,doubling time,倍增时间,,,2020-01-07
6254998,dual energy subtraction,双能减影法,,,2020-01-07
6254999,dual-isotope technique,双同位素技术,,,2020-01-07
6255000,dummy source,假射源,,,2020-01-07
6255001,dynamic-scan,动态扫描,,,2020-01-07
6255002,dysplasia epiphyseal punctata,点状骨骺,,,2020-01-07
6255003,dysplasia epiphysealis hemimelica {=Trevor disease},半肢骨骺发育不良; Trevor氏病,,,2020-01-07
6255004,dysplasia epiphysialis hemimelica {=DEH},半肢骨骺发育不良,,,2020-01-07
6255005,early response,早期反应,,,2020-01-07
6255006,early-response gene,早期反应基因,,,2020-01-07
6255007,eddy current,涡电流,,,2020-01-07
6255008,effect dose 50% {=ED50},50%有效剂量,,,2020-01-07
6255009,effective atomic number,有效原子序数,,,2020-01-07
6255010,effective attenuation coefficient,有效衰减系数,,,2020-01-07
6255011,effective dose,有效剂量,,,2020-01-07
6255012,effective dose equivalent,有效等效剂量,,,2020-01-07
6255013,effective focal spot,实效焦点,,,2020-01-07
6255014,effective half-life,有效半衰期,,,2020-01-07
6255015,effective neutron number,有效中子数,,,2020-01-07
6255016,effective renal plasma flow {=ERPF},有效肾血浆流量,,,2020-01-07
6255017,effusion,渗出液,,,2020-01-07
6255018,EKG/ECG-gated imaging,心电图门控影像,,,2020-01-07
6255019,EKG-gated,心电图门控,,,2020-01-07
6255020,elastic collision,弹性碰撞,,,2020-01-07
6255021,elastic scattering,弹性散射,,,2020-01-07
6255022,electric field,电场,,,2020-01-07
6255023,electric potential,电位,,,2020-01-07
6255024,electromagnetic wave,电磁波,,,2020-01-07
6255025,electron,电子,,,2020-01-07
6255026,electron avalanche,电子突崩,,,2020-01-07
6255027,electron beam therapy,电子束治疗,,,2020-01-07
6255028,electron beams,电子(射)束,,,2020-01-07
6255029,electron capture {=EC},电子捕获,,,2020-01-07
6255030,electron capture disintegration,电子捕获蜕变,,,2020-01-07
6255031,electron density,电子密度,,,2020-01-07
6255032,electron volt {=eV},电子伏特,,,2020-01-07
6255033,electron-capture transitions,电子捕获跃迁,,,2020-01-07
6255034,electronic attenuation coefficient,电子衰减系数,,,2020-01-07
6255035,electronic collision cross section,电子碰撞截面,,,2020-01-07
6255036,electrophilic fluorinating agents,亲电性氟化制剂,,,2020-01-07
6255037,electrophilic fluorination,亲电性氟化,,,2020-01-07
6255038,electrostatic unit,静电单位,,,2020-01-07
6255039,eluate,洗出液,,,2020-01-07
6255040,emission computed tomography {=ECT},射出式电脑断层造影,,,2020-01-07
6255041,emission spectrum,射出光谱,,,2020-01-07
6255042,emitter,射出体,,,2020-01-07
6255043,emphysema,气肿,,,2020-01-07
6255044,empty sella syndrome,空蝶鞍症候群,,,2020-01-07
6255045,encapsulated,包膜的,,,2020-01-07
6255046,encephalocele,脑膨出,,,2020-01-07
6255047,encephalomalacia,脑软化,,,2020-01-07
6255048,enchondroma,内生软骨瘤,,,2020-01-07
6255049,endocytosis,内吞作用,,,2020-01-07
6255050,endodermal sinus tumor,内胚窦瘤,,,2020-01-07
6255051,endogenous,内生性的,,,2020-01-07
6255052,endoscopic retrograde cholangiopancreatography {=ERCP},内视镜逆行性胰胆管摄影,,,2020-01-07
6255053,endotracheal tube,气管内管；气管导管,,,2020-01-07
6255054,energy absorption coefficient,能量吸收系数,,,2020-01-07
6255055,energy conversion factors,能量转换系数,,,2020-01-07
6255056,energy dependence,能量依存,,,2020-01-07
6255057,energy fluence,能通量,,,2020-01-07
6255058,energy fluence rate,能通率,,,2020-01-07
6255059,energy flux density,能通量密度,,,2020-01-07
6255060,energy orbits,轨道能量,,,2020-01-07
6255061,energy resolution,能量解析度,,,2020-01-07
6255062,energy spectrum,能量光谱；能谱,,,2020-01-07
6255063,energy transfer coefficient,能量转移系数,,,2020-01-07
6255064,energy window,能窗,,,2020-01-07
6255065,enhancement of image,影像增强,,,2020-01-07
6255066,enriched,高丰度,,,2020-01-07
6255067,enterovirus,肠病毒,,,2020-01-07
6255068,enzyme immunoassay,酵素免疫分析法,,,2020-01-07
6255069,enzyme-linked immunosorbent assay {=ELISA},酵素连结免疫吸附分析法,,,2020-01-07
6255070,ependymoma,室管膜瘤,,,2020-01-07
6255071,epidermoid cyst,表皮样囊肿,,,2020-01-07
6255072,epidermoid sarcoma,表皮样肉瘤,,,2020-01-07
6255073,epidural abscess,硬脑膜外(硬脑膜上)脓疡,,,2020-01-07
6255074,epidural empyema,硬脑膜外(硬脑膜上)蓄脓,,,2020-01-07
6255075,epidural hematoma,硬脑膜外(硬脑膜上)血肿,,,2020-01-07
6255076,epithelioid hemangioendothelioma,上皮样血管内皮细胞瘤,,,2020-01-07
6255077,equilibrium dose constant,剂量平衡常数,,,2020-01-07
6255078,equinovalgus,外翻足,,,2020-01-07
6255079,equinovarus (club foot),内翻足,,,2020-01-07
6255080,equivalent,当量,,,2020-01-07
6255081,equivalent dose,等效剂量,,,2020-01-07
6255082,erect,直立,,,2020-01-07
6255083,erg,尔格；耳格,,,2020-01-07
6255084,esophagography,食道影像；食道摄影,,,2020-01-07
6255085,esophagram,食道影像；食道摄影,,,2020-01-07
6255086,European Atomic Energy Community {= EURATOM},欧洲原子能共同体,,,2020-01-07
6255087,European Medicines Evaluation Agency {= EMEA},欧洲药品管理局,,,2020-01-07
6255088,Ewing sarcoma,Ewing氏肉瘤,,,2020-01-07
6255089,ex vivo,(生物)体外,,,2020-01-07
6255090,ex vivo technique,(生物)体外技术,,,2020-01-07
6255091,excited state,激发态,,,2020-01-07
6255092,excretion,排泄,,,2020-01-07
6255093,exhaust fumehoods,排气通风柜,,,2020-01-07
6255094,expiration,呼气,,,2020-01-07
6255095,expiratory,吐气,,,2020-01-07
6255096,expiratory film,呼气影像,,,2020-01-07
6255097,exponential attenuation,指数衰减,,,2020-01-07
6255098,exposure,曝露,,,2020-01-07
6255099,exposure calibration factor,暴露校正因子,,,2020-01-07
6255100,exposure dose,曝露剂量,,,2020-01-07
6255101,exposure rate,曝露率,,,2020-01-07
6255102,exposure rate constant,曝露率常数,,,2020-01-07
6255103,external radiotherapy,体外放射治疗,,,2020-01-07
6255104,extractability,萃取率,,,2020-01-07
6255105,extraction,萃取,,,2020-01-07
6255106,extraction efficiency,萃取效率,,,2020-01-07
6255107,extranuclear electron,核外电子,,,2020-01-07
6255108,extrapleural space,肋膜外腔,,,2020-01-07
6255109,extrapontine myelinolysis {=EPM},桥脑外髓鞘溶解症,,,2020-01-07
6255110,extraskeletal myxoid chondrosarcoma,骨外黏液样软骨肉瘤,,,2020-01-07
6255111,facet joint,脊椎之小面关节,,,2020-01-07
6255112,Fahr disease,Fahr氏病,,,2020-01-07
6255113,fallout,落尘；辐射尘,,,2020-01-07
6255114,fan beam,扇形射束,,,2020-01-07
6255115,fast fission effect,快分裂效应,,,2020-01-07
6255116,fast neutron,快中子,,,2020-01-07
6255117,fast neutron dose,快中子剂量,,,2020-01-07
6255118,fast neutron therapy,快中子治疗,,,2020-01-07
6255119,feedback control,回馈控制,,,2020-01-07
6255120,fibroblastic osteosarcoma,成纤维性骨肉瘤,,,2020-01-07
6255121,fibrous cortical defect,皮质骨碟形破坏,,,2020-01-07
6255122,fibrous dysplasia,骨纤维异常增殖症,,,2020-01-07
6255123,field,照野,,,2020-01-07
6255124,field of view {=FOV},视野；照野,,,2020-01-07
6255125,field-size effect,照野效应,,,2020-01-07
6255126,film badge,胶片佩章,,,2020-01-07
6255127,film badge dosimeter,胶片配章剂量计,,,2020-01-07
6255128,film ring,胶片指环,,,2020-01-07
6255129,filter,滤片；滤器,,,2020-01-07
6255130,filter back projection {=FBP},滤波反投影法,,,2020-01-07
6255131,filtered backprojection {=FBP},滤波反投影,,,2020-01-07
6255132,fine-needle aspiration biopsy {=FNAB},细针抽吸穿刺切片,,,2020-01-07
6255133,first pass,首渡；首过,,,2020-01-07
6255134,first pass radionuclidic ventriculographic technique,首过放射性核种心室造影术,,,2020-01-07
6255135,first-pass method,首过法；首渡法,,,2020-01-07
6255136,fission products,核分裂产物,,,2020-01-07
6255137,fissure (s),裂隙,,,2020-01-07
6255138,fistulography,瘘管摄影,,,2020-01-07
6255139,flattening filter,整平滤片,,,2020-01-07
6255140,fluence,通量,,,2020-01-07
6255141,fluence rate,通量率,,,2020-01-07
6255142,fluorescence,萤光,,,2020-01-07
6255143,fluorescence yield,萤光产率,,,2020-01-07
6255144,fluorodeoxyglucose {=FDG},氟化去氧葡萄糖,,,2020-01-07
6255145,fluoroscope radiographic apparatus,透视摄影装置,,,2020-01-07
6255146,fluoroscopy,萤光透视检查,,,2020-01-07
6255147,fluorosis,氟骨病,,,2020-01-07
6255148,fogging effect {in subacute infarction},模糊效应阶段 {亚急性脑梗塞},,,2020-01-07
6255149,Food and Drug Administration {=FDA},食品与药物管理局,,,2020-01-07
6255150,Food and Drug Administration Modernization Act {=FDAMA},食品药物管理局现代化法案,,,2020-01-07
6255151,fraction,分率；分次,,,2020-01-07
6255152,fractional irradiation,分次照射,,,2020-01-07
6255153,fractionation,分次,,,2020-01-07
6255154,fragment,片段,,,2020-01-07
6255155,frame,框；节；帧,,,2020-01-07
6255156,Frankel line,Frankel氏线,,,2020-01-07
6255157,free antigen,游离抗原,,,2020-01-07
6255158,free induction decay {=FID},自由感应衰减,,,2020-01-07
6255159,free radical,自由基,,,2020-01-07
6255160,frontal,正面,,,2020-01-07
6255161,frontal view,正面影像,,,2020-01-07
6255162,full width at half maximum {=FWHM},半高全宽,,,2020-01-07
6255163,functional image,功能影像,,,2020-01-07
6255164,Ga-67 scintigraphy,镓-67闪烁摄影,,,2020-01-07
6255165,Galeazzi fracture,Galeazzi骨折,,,2020-01-07
6255166,gallium chloride,氯化镓,,,2020-01-07
6255167,gallium citrate,柠檬酸镓,,,2020-01-07
6255168,gallium-68 {=Ga-68},镓-68,,,2020-01-07
6255169,gamma camera,伽玛摄影器,,,2020-01-07
6255170,gamma disintegration,伽玛衰变,,,2020-01-07
6255171,gamma knife,伽玛刀；加马刀,,,2020-01-07
6255172,gamma ray,伽玛射线,,,2020-01-07
6255173,gamma ray {=γ-ray},伽玛射线；加马射线,,,2020-01-07
6255174,gas chromatography,气体层析术,,,2020-01-07
6255175,gated,门控,,,2020-01-07
6255176,gated equilibrium cardiac blood pool scintigraphy,门控心脏血池平衡闪烁造影,,,2020-01-07
6255177,Geiger-Muller (GM) counters,盖格计数器,,,2020-01-07
6255178,Geiger-Muller (GM) survey meter,盖格侦检计,,,2020-01-07
6255179,Geiger-Muller counter,盖革计数器,,,2020-01-07
6255180,Geiger-Muller detector,盖革氏侦检器,,,2020-01-07
6255181,Geiger-Nuttall's law,盖革-史达尔法则,,,2020-01-07
6255182,generator,产生器；孳生器,,,2020-01-07
6255183,genome,基因体,,,2020-01-07
6255184,genomic library,基因体库,,,2020-01-07
6255185,genotype,基因型；遗传型,,,2020-01-07
6255186,genu valgus,外翻膝,,,2020-01-07
6255187,genu varus,内翻膝,,,2020-01-07
6255188,geographic,地图样,,,2020-01-07
6255189,germ cell tumor,生殖细胞肿瘤,,,2020-01-07
6255190,germinoma,胚细胞瘤,,,2020-01-07
6255191,giant cell astrocytoma,巨细胞星细胞瘤,,,2020-01-07
6255192,giant cell tumor,巨细胞瘤,,,2020-01-07
6255193,giant cell tumor of tendon sheath {=GCTTS},腱鞘巨细胞瘤,,,2020-01-07
6255194,gigantism,巨人症,,,2020-01-07
6255195,gladellomeatal line,眉耳孔线,,,2020-01-07
6255196,glass dosimeter,玻璃剂量计,,,2020-01-07
6255197,glioblastoma,神经胶质母细胞瘤,,,2020-01-07
6255198,glioblastoma multiforme {=GBM},多形性神经胶质母细胞瘤,,,2020-01-07
6255199,gliomatosis cerebri,大脑神经胶瘤病,,,2020-01-07
6255200,glomerular filtration rate {=GFR},肾小(丝)球过滤率,,,2020-01-07
6255201,glomerulus,肾小(丝)球,,,2020-01-07
6255202,glomus tumor,球状血管瘤,,,2020-01-07
6255203,gluconeogenesis,糖质新生作用,,,2020-01-07
6255204,glucose transporter {=GLUT},葡萄糖转运体,,,2020-01-07
6255205,glycogen,肝糖,,,2020-01-07
6255206,glycolysis,糖解作用,,,2020-01-07
6255207,GM counter,盖革-弥勒计数器,,,2020-01-07
6255208,gonad dose,性腺剂量,,,2020-01-07
6255209,gonadal shield,防护(铅)生殖器护罩,,,2020-01-07
6255210,gonads,性腺；生殖腺,,,2020-01-07
6255211,Good Manufacturing Practice {=GMP},药品优良制造规范,,,2020-01-07
6255212,gouty arthritis,痛风性关节炎,,,2020-01-07
6255213,grade,分级；等级,,,2020-01-07
6255214,gradient coil,梯度线圈,,,2020-01-07
6255215,gradient correction,梯度修正,,,2020-01-07
6255216,gradient magnetic field,梯度磁场,,,2020-01-07
6255217,gradient magnetic field coil,梯度磁场线圈,,,2020-01-07
6255218,gray {=Gy},格雷；戈雷,,,2020-01-07
6255219,gray scale,灰阶,,,2020-01-07
6255220,greater trochanter,大粗隆,,,2020-01-07
6255221,grid,铅栅,,,2020-01-07
6255222,grid (G),栅板,,,2020-01-07
6255223,grid controlled X-ray tube,栅电位控制X光管,,,2020-01-07
6255224,grid ratio,铅栅比,,,2020-01-07
6255225,gross tumor volume {=GTV},肿瘤体积,,,2020-01-07
6255226,ground glass,毛玻璃状,,,2020-01-07
6255227,ground state,基态,,,2020-01-07
6255228,ground-glass attenuation,毛玻璃状衰减,,,2020-01-07
6255229,ground-glass opacity,毛玻璃状阴影,,,2020-01-07
6255230,growth delay,生长延迟,,,2020-01-07
6255231,growth factor,生长因子,,,2020-01-07
6255232,guide wire,导线,,,2020-01-07
6255233,guidelines,方针；规范,,,2020-01-07
6255234,gyral enhancement,脑回显影,,,2020-01-07
6255235,gyroscope,陀螺仪,,,2020-01-07
6255236,hadatic cyst disease,包虫病,,,2020-01-07
6255237,haemosiderosis,含铁血红素沉积症,,,2020-01-07
6255238,half lethal dose {=LD50},半数致死剂量,,,2020-01-07
6255239,half thickness,半厚度,,,2020-01-07
6255240,half-value layer {=HVL},半值层,,,2020-01-07
6255241,hallus valgus,外翻趾,,,2020-01-07
6255242,hallus varus,内翻趾,,,2020-01-07
6255243,hamartoma,过误瘤；错构瘤,,,2020-01-07
6255244,hapten,不完全抗原；半抗原,,,2020-01-07
6255245,Hashimoto's thyroiditis,桥本氏甲状腺炎,,,2020-01-07
6255246,health physics,保健物理,,,2020-01-07
6255247,heat shock protein,热休克蛋白,,,2020-01-07
6255248,heat unit {=HU},热单位,,,2020-01-07
6255249,heavy charged particle,重粒子,,,2020-01-07
6255250,hemangioblastoma,血管母细胞瘤,,,2020-01-07
6255251,hemangioma,血管瘤,,,2020-01-07
6255252,hemangiopericytoma,血管外皮细胞瘤,,,2020-01-07
6255253,hematocrit,血容比,,,2020-01-07
6255254,hemimelia,半肢畸形,,,2020-01-07
6255255,hemithorax,半侧胸廓；单侧胸廓,,,2020-01-07
6255256,hemivertebra,半椎体,,,2020-01-07
6255257,hemothorax,血胸,,,2020-01-07
6255258,heparin,肝素,,,2020-01-07
6255259,hepatic flexure,结肠肝弯；肝曲,,,2020-01-07
6255260,hepatobiliary agents,肝胆造影剂,,,2020-01-07
6255261,hepatocytes,肝细胞,,,2020-01-07
6255262,herniated disk,椎间盘突出,,,2020-01-07
6255263,herniation of intervertebral disc {= HIVD},椎间盘突出,,,2020-01-07
6255264,herpes simplex encephalitis,单纯疱疹脑炎,,,2020-01-07
6255265,Herz,赫兹,,,2020-01-07
6255266,heterogeneous,异质的,,,2020-01-07
6255267,heterotopia of gray matter,灰质异位,,,2020-01-07
6255268,hexokinase,六碳糖激酶；己糖激酶,,,2020-01-07
6255269,hiatal hernia,裂孔疝气,,,2020-01-07
6255270,high energy X-ray therapy,高能X光线治疗,,,2020-01-07
6255271,high voltage radiography,高电压放射摄影(术)(少用),,,2020-01-07
6255272,high voltage radiography screen,高电压摄影用增感屏,,,2020-01-07
6255273,high-performance liquid chromatography {=HPLC},高效能液相层析法,,,2020-01-07
6255274,high-resolution CT {=HRCT},高解析度电脑断层,,,2020-01-07
6255275,hilar,肺门,,,2020-01-07
6255276,Hill-Sack lesion,Hill-Sacks损伤,,,2020-01-07
6255277,hilum,肺门,,,2020-01-07
6255278,histoplasmosis,组织浆菌症,,,2020-01-07
6255279,Hodgkin lymphoma,Hodgkin淋巴瘤,,,2020-01-07
6255280,holoprosencephaly,前脑无裂畸形,,,2020-01-07
6255281,honeycombing,蜂窝状,,,2020-01-07
6255282,hot atom chemistry,热原子化学,,,2020-01-07
6255283,hot atom effect,热原子效应,,,2020-01-07
6255284,hot run,热(有放射活性)运转,,,2020-01-07
6255285,hot-air sterilization,热风灭菌,,,2020-01-07
6255286,Hounsfield unit {=HU},HU值,,,2020-01-07
6255287,HSV herpes simplex virus {=HSV},单纯疱疹病毒,,,2020-01-07
6255288,human anti-murine antibody {=HAMA},人类抗鼠抗体,,,2020-01-07
6255289,Hunter disease,Hunter氏病,,,2020-01-07
6255290,hybrid scanner,混合扫描器,,,2020-01-07
6255291,hybridization,杂合,,,2020-01-07
6255292,hydraencephaly,积水性无脑畸形,,,2020-01-07
6255293,hydrochloric acid {=HC1},盐酸,,,2020-01-07
6255294,hydrolysate,水解产物,,,2020-01-07
6255295,hydrolyzed,水解的,,,2020-01-07
6255296,hydropneumothorax,水气胸,,,2020-01-07
6255297,hydroxyapatite,羟磷灰石,,,2020-01-07
6255298,hydroxyapatite matrix,羟磷灰石基质,,,2020-01-07
6255299,hydroxymethylene diphosphonate {=HMDP or HDP},羟基亚甲基二磷酸盐,,,2020-01-07
6255300,hyperbaric oxygen {=HBO},高压氧,,,2020-01-07
6255301,hypercalcemia,高血钙症,,,2020-01-07
6255302,hyperfractionated radiotherapy,高分次放射治疗,,,2020-01-07
6255303,hyperinflation,过度充气,,,2020-01-07
6255304,hyperparathyroidism,副甲状腺功能亢进,,,2020-01-07
6255305,hyperplasia,增生,,,2020-01-07
6255306,hyperthermia,热疗法,,,2020-01-07
6255307,hyperthermia therapy,热治疗,,,2020-01-07
6255308,hyperthyroidism,甲状腺机能亢进,,,2020-01-07
6255309,hypertrophic pulmonary osteoarthropathy,肥厚性骨关节病变,,,2020-01-07
6255310,hyperuricemia,高尿酸血症,,,2020-01-07
6255311,hypodiploid,低二倍体,,,2020-01-07
6255312,hypofractionated radiotherapy,低分次放射治疗,,,2020-01-07
6255313,hypopharynx,下咽,,,2020-01-07
6255314,hypoplasia of corpus callosum,胼胝体发育不全,,,2020-01-07
6255315,hypothalamus,下视丘,,,2020-01-07
6255316,hypotonic duodenography,低张性十二指肠摄影,,,2020-01-07
6255317,hypoventilation,换气不足,,,2020-01-07
6255318,hysterosalpingography {=HSG},子宫输卵管摄影,,,2020-01-07
6255319,I-131 whole body scan {=131I WBS},碘-131全身扫描,,,2020-01-07
6255320,iliac arcuate line,髂骨弓状线,,,2020-01-07
6255321,image acquisition,影像撷取,,,2020-01-07
6255322,image amplifier {=IA},影像放大器,,,2020-01-07
6255323,image contrast,影像对比,,,2020-01-07
6255324,image fusion,影像融合,,,2020-01-07
6255325,image intensifier,影像增强器,,,2020-01-07
6255326,image registration,影像对位,,,2020-01-07
6255327,imaginary lines,假想线,,,2020-01-07
6255328,imaging,成像；摄影；造影,,,2020-01-07
6255329,imaging modality,影像诊断工具,,,2020-01-07
6255330,immunofluorescence assay,免疫萤光分析法,,,2020-01-07
6255331,in vitro,试管内；体外,,,2020-01-07
6255332,in vivo,体内；活体内,,,2020-01-07
6255333,in vivo counting,活体内计数,,,2020-01-07
6255334,in vivo labeling,活体内标识,,,2020-01-07
6255335,in-air exposure,空气曝露,,,2020-01-07
6255336,incident dose,入射剂量,,,2020-01-07
6255337,incomplete fracture,不完整性骨折,,,2020-01-07
6255338,incubation,培养,,,2020-01-07
6255339,indirect digital radiography,间接数位放射摄影(术),,,2020-01-07
6255340,indirect ionizing radiation,间接游离辐射,,,2020-01-07
6255341,inelastic collision,非弹性碰撞,,,2020-01-07
6255342,inelastic scattering,非弹性散射,,,2020-01-07
6255343,infantile cortical hyperostosis {=Caffey disease},婴儿骨皮质增生症,,,2020-01-07
6255344,inferior vena cavography,下腔静脉摄影(术),,,2020-01-07
6255345,infiltration,浸润,,,2020-01-07
6255346,inspiration,吸气,,,2020-01-07
6255347,inspiratory film,吸气影像,,,2020-01-07
6255348,Institutional Review Board {=IRB},研究伦理规范审查小组,,,2020-01-07
6255349,insufficiency fracture,不全性骨折,,,2020-01-07
6255350,intensification,增强法,,,2020-01-07
6255351,intensifying screen,增感屏,,,2020-01-07
6255352,interlobar,肺叶间,,,2020-01-07
6255353,interlobar fissure,肺叶裂隙,,,2020-01-07
6255354,internal conversion,内转换,,,2020-01-07
6255355,internal conversion coefficient,内转换系数,,,2020-01-07
6255356,internal conversion process,内转换过程,,,2020-01-07
6255357,international commission on radiation units and measurements {=ICRU},国际放射线单位及测定委员会,,,2020-01-07
6255358,international commission on radiological protection {=ICRP},国际辐射防护委员会；国际放射线防护委员会,,,2020-01-07
6255359,interphase,间期,,,2020-01-07
6255360,interstitial,间质性,,,2020-01-07
6255361,interstitial edema,间质性水肿,,,2020-01-07
6255362,interstitial implant,组织插种近接治疗,,,2020-01-07
6255363,interstitial lung disease,间质性肺部疾病,,,2020-01-07
6255364,interstitial pattern,间质型态,,,2020-01-07
6255365,interstitium,间质,,,2020-01-07
6255366,interventricular foramen,脑室间孔,,,2020-01-07
6255367,intervertebral disc,椎间盘,,,2020-01-07
6255368,intracavitary implant,腔内近接治疗,,,2020-01-07
6255369,intracerebral hemorrhage {=ICH},脑内出血,,,2020-01-07
6255370,intracranial aneurysm,颅内动脉瘤,,,2020-01-07
6255371,intramembranous ossification,膜内成骨,,,2020-01-07
6255372,intraoperative radiation therapy {=IORT},手术中放射治疗,,,2020-01-07
6255373,intraoral radiography,口腔内X光摄影,,,2020-01-07
6255374,intravenous angiocardiography,经静脉之心血管放射摄影(术),,,2020-01-07
6255375,intraventricular {cerebral},脑室内的,,,2020-01-07
6255376,intrinsic resolution,固有解析度,,,2020-01-07
6255377,inverse square law,平方反比定律,,,2020-01-07
6255378,inversion recovery,反转回复,,,2020-01-07
6255379,Investigational New Drug {=IND},试验中新药,,,2020-01-07
6255380,involucrum,骨包膜,,,2020-01-07
6255381,Iodine 131,碘131,,,2020-01-07
6255382,ion,离子,,,2020-01-07
6255383,ion-exchange chromatography,离子交换层析法,,,2020-01-07
6255384,ionization,游离化,,,2020-01-07
6255385,ionization chamber,游离腔,,,2020-01-07
6255386,ionization chamber dosimeter,游离腔剂量计,,,2020-01-07
6255387,ionizing radiation {=IR},游离辐射,,,2020-01-07
6255388,ipsilateral,同侧,,,2020-01-07
6255389,iron deposition,铁沉积,,,2020-01-07
6255390,irradiated volume,照射体积,,,2020-01-07
6255391,irradiation,照射,,,2020-01-07
6255392,ischemic infarction,缺血性脑中风,,,2020-01-07
6255393,isobar,同重素,,,2020-01-07
6255394,isocenter,等中心点,,,2020-01-07
6255395,isodose,等剂量,,,2020-01-07
6255396,isodose curve,等剂量曲线,,,2020-01-07
6255397,isomer,同质异能素,,,2020-01-07
6255398,isomeric state,异构态,,,2020-01-07
6255399,isomeric transition {=IT},异构过渡,,,2020-01-07
6255400,isomers,异构物,,,2020-01-07
6255401,isotone,等中子素,,,2020-01-07
6255402,isotope,同位素,,,2020-01-07
6255403,isotope dilution technique,同位素稀释技术,,,2020-01-07
6255404,isotope separator,同位素分离器,,,2020-01-07
6255405,iterative approximation,叠代近似法,,,2020-01-07
6255406,iterative reconstruction,叠代重建法,,,2020-01-07
6255407,joule,焦耳,,,2020-01-07
6255408,juxtacortical chondrosarcoma,皮质旁软骨肉瘤,,,2020-01-07
6255409,Kaschin-Beck disease,大骨节病,,,2020-01-07
6255410,Kerley lines,克利线,,,2020-01-07
6255411,Kerma {=K},克马,,,2020-01-07
6255412,Kerma coefficient,克马系数,,,2020-01-07
6255413,Kerma rate {=K},克马率,,,2020-01-07
6255414,kidney ureter bladder {=KUB},仰卧腹部摄影；肾脏输尿管膀胱摄影,,,2020-01-07
6255415,kilovoltage{=kV},千伏特,,,2020-01-07
6255416,kinetic energy,动能,,,2020-01-07
6255417,kit,套组,,,2020-01-07
6255418,klystron,调速管；速调管,,,2020-01-07
6255419,labeling,标识；标定,,,2020-01-07
6255420,lactoferrin,乳铁素；乳铁蛋白,,,2020-01-07
6255421,lactoperoxidase,乳过氧化酶,,,2020-01-07
6255422,lacunar infarction,小洞性梗塞；小间隙梗塞,,,2020-01-07
6255423,Larmor frequency,拉莫[尔]频率,,,2020-01-07
6255424,laryngography,喉头摄影(术),,,2020-01-07
6255425,late effect,延迟性效果,,,2020-01-07
6255426,late responding tissue,晚期反应组织,,,2020-01-07
6255427,late responses,晚期反应,,,2020-01-07
6255428,latency period,潜伏期,,,2020-01-07
6255429,latent image,潜影；潜像,,,2020-01-07
