ID,英文名稱,中文名稱,圖片,審譯日期,更新日期
6254572,atelectasis,扩张不全,,,2020-01-07
6254573,atom,原子,,,2020-01-07
6254574,atomic attenuation coefficient,原子衰减系数,,,2020-01-07
6254575,atomic cross section,原子截面,,,2020-01-07
6254576,Atomic Energy Commission {=AEC},原子能委员会,,,2020-01-07
6254577,atomic mass unit {=AMU},原子质量单位,,,2020-01-07
6254578,atomic number,原子序,,,2020-01-07
6254579,atomic weight,原子量,,,2020-01-07
6254580,atrial appendage,心耳,,,2020-01-07
6254581,atrial septal defect,心房中膈缺损,,,2020-01-07
6254582,atrium,心房,,,2020-01-07
6254583,attenuation,衰减,,,2020-01-07
6254584,attenuation coefficient,衰减系数,,,2020-01-07
6254585,attenuation correction,衰减校正,,,2020-01-07
6254586,attenuation curve,衰减曲线,,,2020-01-07
6254587,Auger effect,鄂惹效应,,,2020-01-07
6254588,Auger electron,鄂惹电子,,,2020-01-07
6254589,autocassette,自动贮片盒,,,2020-01-07
6254590,autoinjection system,自动注射装置,,,2020-01-07
6254591,autoinjector,自动注射器,,,2020-01-07
6254592,autoradiography,自动摄影术,,,2020-01-07
6254593,avascular necrosis,缺血性坏死,,,2020-01-07
6254594,avulsion fracture,拉扯性骨折,,,2020-01-07
6254595,axial,轴位,,,2020-01-07
6254596,axial direction,轴方向,,,2020-01-07
6254597,axial image,轴位影像,,,2020-01-07
6254598,axial plane,轴切面,,,2020-01-07
6254599,axial transverse tomography,轴向横断面扫描摄影,,,2020-01-07
6254600,azygos,奇,,,2020-01-07
6254601,azygos fissure,奇裂隙,,,2020-01-07
6254602,azygos lobe,奇肺叶,,,2020-01-07
6254603,B type mode,B-模式,,,2020-01-07
6254604,back projection,反投影法,,,2020-01-07
6254605,back scatter factor {=BSF},反散射系数,,,2020-01-07
6254606,background radiation,背景辐射,,,2020-01-07
6254607,backscattering,反向散射,,,2020-01-07
6254608,backscattering factor,反向散射系数,,,2020-01-07
6254609,backscattering peak,反向散射峰值,,,2020-01-07
6254610,bacterial meningitis,细菌性脑膜炎,,,2020-01-07
6254611,balloon catheter,气球导管,,,2020-01-07
6254612,Bankart lesion,Bankart损伤,,,2020-01-07
6254613,barium,钡剂,,,2020-01-07
6254614,barium enema,钡灌肠摄影,,,2020-01-07
6254615,barrel chest,桶状胸,,,2020-01-07
6254616,Barton's fracture,Barton氏骨折,,,2020-01-07
6254617,basal cisterns,基底脑池,,,2020-01-07
6254618,basal segments,基底肺节,,,2020-01-07
6254619,beam,射束,,,2020-01-07
6254620,beam attenuator,射束衰减器,,,2020-01-07
6254621,beam flattening filter,射束平坦化滤板,,,2020-01-07
6254622,becquerel {=Bq},贝克；贝克勒,,,2020-01-07
6254623,beta decay,β衰变,,,2020-01-07
6254624,beta-ray,β 射线,,,2020-01-07
