ID,英文名稱,中文名稱,圖片,更新日期
21290635,acoustic power level,声功率位准,,
21290636,acoustic radiation impedance,声辐射阻抗,,
21290637,acoustic remote control,音响遥控,,
21290638,acoustic signature,音迹,,
21290639,acoustic sweep,水声搜索,,
21290640,acoustic transducer,音响换能器,,
21290641,acoustic transponder,音响询答机,,
21290642,acoustic velocity,音速,,
21290643,acoustic wave,声波；音波,,
21290644,acoustical habitability,音响适居性,,
21290645,acrylic resin paint,丙烯酸树脂涂料,,
21290646,act of god,天灾,,
21290647,acting face,作用面,,
21290648,acting surface,作用面；正压面；推进面{螺桨},,
21290649,activation,启封{将封存船整修再服役},,
21290650,active emitting material,活性；放射性材料,,
21290651,active force,主动力,,
21290652,active homing missile,主动归向飞弹,,
21290653,active metal,活性金属,,
21290654,active rudder,主动舵,,
21290655,active rudder motor,主动舵马达,,
21290656,active sonar,主动式声纳,,
21290657,active steering means,主动操舵设施,,
21290658,actual efficiency,实际效率,,
21290659,actual pitch,实际螺距；实际节距,,
21290660,actual throat,实际喉深{銲接},,
21290661,actual thrust,实际推力,,
21290662,actual velocity,实际速度,,
21290663,actuating motor fan motor,伺服马达；起动马达电扇马达,,
21290664,actuation test,作动试验,,
21290665,actuator,致动器；引动器,,
21290666,Adamson’s joint,亚当逊接头{锅炉},,
21290667,Adamson’s ring,亚当逊环{锅炉},,
21290668,adapter,转接器；接合器；接头；配合件,,
21290669,adaptive control,适应控制,,
21290670,added apparent mass,表观附加质量,,
21290671,added mass,附加质量,,
21290672,added moment of inertia,附加惯性矩,,
21290673,added resistance,附加阻力,,
21290674,added weight method,加重法；增加重量计算法,,
21290675,addendum,齿冠,,
21290676,addendum circle,齿顶圆；齿冠圆,,
21290677,addendun line,齿冠线,,
21290678,addition material,添加剂,,
21290679,additional capability,附加[输出]功率,,
21290680,additional class,附加[船]级,,
21290681,additional girder,附加纵桁,,
21290682,additional strength,附加强度；额外强度,,
21290683,additional strengthening,额外加强,,
21290684,additional stress,额外应力,,
21290685,additional survey,额外检验,,
21290686,additional turbine,附加涡轮机,,
21290687,additional web,附加大肋骨,,
21290688,adhesion,黏著[力]；附著[力],,
21290689,adhesion weight,附著重量,,
21290690,adhesive,黏著剂,,
21290691,adhesive capacity,黏著能力；附著能力,,
21290692,adhesive moisture,附著水分；黏著水分,,
21290693,adhesive paste,黏著剂,,
21290694,adiabatic change,绝热变化,,
21290695,adiabatic compression,绝热膨胀；定热压缩,,
21290696,adiabatic efficiency,绝热效率,,
21290697,adiabatic engine,绝热引擎,,
21290698,adiabatic expansion,绝热膨胀；定热膨胀,,
21290699,adiabatic heating,绝热加温,,
21290700,adiabatic horsepower,绝热马力,,
