ID,英文名稱,中文名稱,圖片,更新日期
20887463,4Wire Ear & Mouth Trunk Unit{=4W E&M},四蕊通话路径卡,,2023-01-17
20887464,50 kg rail,50 kg 钢轨,,2023-01-17
20887465,50 kg/m rail,50 kg/m 钢轨,,2023-01-17
20887466,50L KEY,50L 钥匙,,2023-01-17
20887467,50mm higher than the top of ties,轨抛面高出 50 毫米,,2023-01-17
20887468,50V Negative Rail Voltage Measuring{=NRVM},50V 负电压侦测器,,2023-01-17
20887469,5-second voltage at discharge,放电 5 秒电压,,2023-01-17
20887470,5W1H,六何,,2023-01-17
20887471,5-way pipe,五通管,,2023-01-17
20887472,6 cylinder v engine,6 缸 V 型引擎,,2023-01-17
20887473,60kg/m,120 磅／码钢轨,,2023-01-17
20887474,69kg per metre rail,69 公斤／公尺钢轨,,2023-01-17
20887475,69kg rail,69 千克钢轨；69 公斤钢轨,,2023-01-17
20887476,69kg/m rail,69 公斤／公尺钢轨,,2023-01-17
20887477,7mm in measured over 10m,10 公尺弦为 7mm,,2023-01-17
20887478,8 Channel Audio Input Card,8 频道语音输入卡,,2023-01-17
20887479,8 Channel Audio Output Card,8 频道语音输出卡,,2023-01-17
20887480,8 cylinder v engine,8 缸 V 型引擎,,2023-01-17
20887481,8M Station Marker,8 M 标志线圈,,2023-01-17
20887482,8TK Interlocking Unit{=8TK},8 TK 连锁单位,,2023-01-17
20887483,9-azabicyclo [3.3.1],氮杂二环,,2023-01-17
20887484,A  strake,A 板列,,2023-01-17
20887485,A basis,A 基值,,2023-01-17
20887486,A Battery,A 种干电池；电池,,2023-01-17
20887487,A bracket,A 形架,,2023-01-17
20887488,A Car/B Car,A 车 / B 车,,2023-01-17
20887489,a chord of 10 meters,10M 弦,,2023-01-17
20887490,a circular order,通缉,,2023-01-17
20887491,A class division,甲级隔舱,,2023-01-17
20887492,A Class Fire Door,甲种防火门,,2023-01-17
20887493,a complete catchweigher mounted on a vehicle,车载式分重一体秤,,2023-01-17
20887494,A frame,A 形构架,,2023-01-17
20887495,a judgment of guilty,有罪判决,,2023-01-17
20887496,a judgment of not guilty,无罪判决,,2023-01-17
20887497,a length of 100m at each end,两端 100 公尺长度,,2023-01-17
20887498,a minimum speed airfoil,最小速度翼形,,2023-01-17
20887499,A pillar,前柱,,2023-01-17
20887500,a plurality of bit line,多个位元线,,2023-01-17
20887501,a plurality of block,多个区块,,2023-01-17
20887502,a plurality of core,多个核心,,2023-01-17
20887503,a plurality of light beam,多个光束,,2023-01-17
20887504,a plurality of processing unit,多个处理单元,,2023-01-17
20887505,a plurality of protocol,多个协定,,2023-01-17
20887506,A pole,A 柱,,2023-01-17
20887507,A power supply,A 电源,,2023-01-17
20887508,a public document,公文书,,2023-01-17
20887509,a ruling not to prosecute,不起诉处分,,2023-01-17
20887510,A transformation,A 变态,,2023-01-17
20887511,A Value not Less than the Threshold for Supervision,查核金额以上之采购,,2023-01-17
20887512,a written judgment,判决书,,2023-01-17
20887513,A. C. commutator motor,交流整流马达；交流整流电动机,,2023-01-17
20887514,A.A.A.{=American Automobile Association},美国汽车协会,,2023-01-17
20887515,A.A.Gun{=Anti Aircraft Gun},高射砲,,2023-01-17
20887516,A.C. arc welding,交流电弧銲接,,2023-01-17
20887517,a.c. impedance,交流阻抗,,2023-01-17
20887518,a.c. input power,交流输入电源,,2023-01-17
20887519,A.C.{=Alternating Current},交流电,,2023-01-17
20887520,A.C.balancer,交流均压机,,2023-01-17
20887521,A.C.bridge,交流电桥,,2023-01-17
20887522,A.C.circuit,交流回路,,2023-01-17
20887523,A.C.distrubution,交流配电,,2023-01-17
20887524,A.C.V.(=air cushion vehicle) platform,气垫船运台,,2023-01-17
20887525,A.C.welder,交流溶接机,,2023-01-17
20887526,A.N.S.I.{=American National Standard Institute},美国标准学会,,2023-01-17
20887527,A.S.M.E.{=American Society of Mechanical Engineers},美国机械工程学会,,2023-01-17
20887528,A.S.T.M.{=American Society for Testing Materials},美国材料试验协会,,2023-01-17
