ID,英文名稱,中文名稱,圖片,更新日期
94233,mooring mat,护缆垫,,2012-11-26
94234,mooring lighter,系泊工具船；系缆驳船,,2012-11-26
94235,mooring force,系船牵引力,,2012-11-26
94236,mooring facilities,系船设备,,2012-11-26
94237,mooring dolphin,系船桩,,2012-11-26
94238,mooring cross,系缆十字柱,,2012-11-26
94239,mooring charge,带解缆费,,2012-11-26
94240,mooring chain,系泊链,,2012-11-26
94241,mooring buoy,系船浮筒,,2012-11-26
94242,mooring bollard,系船直柱,,2012-11-26
94243,mooring bitt,系船桩；系缆双直柱{船上},,2012-11-26
94244,mooring area,碇泊区,,2012-11-26
94245,monopolized stevedore,独占装卸业,,2012-11-26
94246,monolithic type wharf,整体式码头；混凝土整体铸造码头,,2012-11-26
94247,mobile wharf,机动性码头,,2012-11-26
94248,mobile crane,机动起重车；移动起重机,,2012-11-26
94249,mineral dredge,采取水底矿物挖泥船,,2012-11-26
94250,mined area,布雷区,,2012-11-26
94251,middle leading light,中导灯,,2012-11-26
94252,middle ground guoy,中洲浮标,,2012-11-26
94253,middle channel,中流,,2012-11-26
94254,meteorological chart,气象图,,2012-11-26
94255,merchant flag,商船；商船旗,,2012-11-26
94256,measurement ton,容积吨；呎码吨,,2012-11-26
94257,mean wave height,平均浪高,,2012-11-26
94258,mean vertical candle power,平均垂直烛光,,2012-11-26
94259,mean upper hemispherical candle power,平均上半球面烛光,,2012-11-26
94260,mean spherical power,平均球面烛光,,2012-11-26
94261,mean low water,平均低水位,,2012-11-26
94262,mean low low water,平均较低低潮位；平均特低水位,,2012-11-26
94263,mean horizontal candle power,平均水平烛光,,2012-11-26
94264,mean hgih high water,平均较高高潮；平均特高水位,,2012-11-26
94265,mean annual rainfall,平均年降雨量,,2012-11-26
94266,maximum wave height,最大波高,,2012-11-26
94267,maximum lifting capacity,最大起重量,,2012-11-26
94268,maximum barometer,最高气压表,,2012-11-26
94269,masonry type gravity wall,坊工重力式码头,,2012-11-26
94270,marker buoy [= marine buoy; watch buoy],定位浮标；标位浮标,,2012-11-26
94271,mark boat,标识船,,2012-11-26
94272,maritime service,海事服务所,,2012-11-26
94273,maritime ports convention,航运港埠公约,,2012-11-26
94274,maritime matter,海商事件,,2012-11-26
94275,maritime canal,沿海运河,,2012-11-26
94276,maritime authorities,海事局,,2012-11-26
94277,maritime affairs,海事,,2012-11-26
94278,marine terminal office,栈埠管理处；栈埠管理所,,2012-11-26
94279,marine surveyor,海事检验师；验船师,,2012-11-26
94281,marine officer's certificate,河海航行员执业证书,,2012-11-26
94282,marine insurance; maritime insurance,海上保险,,2012-11-26
94283,marine hospital,海员医院,,2012-11-26
94284,marine erosion,海水浸蚀,,2012-11-26
94285,marine document,航海文件,,2012-11-26
94286,marine disaster; marine perils,海难,,2012-11-26
94287,marine bureau; shipping and navigation bureau,航政局,,2012-11-26
94288,marine borers,钻孔海虫,,2012-11-26
94289,marginal wharf,边缘码头,,2012-11-26
94290,manifest,舱单,,2012-11-26
94291,maneuving basin [= swinging area; swinging basin; turning basin],回船池；回转区；回旋区,,2012-11-26
94292,major tide,大潮；主潮,,2012-11-26
94293,main hook,起重机主钩,,2012-11-26
94294,main flood; principal tide,主潮,,2012-11-26
94295,maimum draught; maimum draft,最大吃水,,2012-11-26
94296,magnitude of light,灯塔等级,,2012-11-26
94297,magnetic variation chart,磁经偏差图,,2012-11-26
94298,magnet crane,磁盘起重机,,2012-11-26
94299,machinery goods,机械货物,,2012-11-26
94300,lyle gun,[射]绳枪{救生},,2012-11-26
94301,lunar semidiurnal tide,太阴半日周潮,,2012-11-26
94302,lunar long period tide,太阴长期潮,,2012-11-26
94303,luminous range,光度视程；光度距离；光距,,2012-11-26
94304,lumber basin,木材贮放池,,2012-11-26
94305,luff on luff; luff upon luff; double rigging luff; stay luff; two fold purchase,双滑车,,2012-11-26
94306,lowest low water level,最低低水位,,2012-11-26
94307,lower end buoy,下端浮标,,2012-11-26
94308,low water rock,低潮礁,,2012-11-26
94309,low water of spring tide,大潮平均低水位,,2012-11-26
94310,low water of neap tide,小潮平均低水位,,2012-11-26
94311,low water level equinoxial spring tide,春秋分大潮低水位,,2012-11-26
94312,low tide shore line,低潮海岸线,,2012-11-26
94313,low rubble mound composite breakwater,低抛石基合成防波堤,,2012-11-26
94314,longshoremen union,码头工会,,2012-11-26
94315,longshoreman; quay man,码头工人,,2012-11-26
94316,longshoreman gang,码头工人装卸队,,2012-11-26
94317,longshore bar,平行海岸沙洲,,2012-11-26
94318,longitudinal wharf,横向码头,,2012-11-26
94319,longitudinal slipway,舷侧先下水之造船滑道,,2012-11-26
94320,long period tide,长周期潮,,2012-11-26
94321,long flash; long flashing light,长闪光,,2012-11-26
94322,log basin,贮木池,,2012-11-26
94323,locomotive crane,自走式起重机,,2012-11-26
94324,locksman,船闸管理人,,2012-11-26
94325,locked harbor,有闸港；闭口港,,2012-11-26
94326,local pilot,地区引水人,,2012-11-26
94327,loading berth,装货船席,,2012-11-26
94328,load water line,满载水线；载重线,,2012-11-26
94329,load test,载重试验；负载试验,,2012-11-26
94330,load buoyant,浮载重,,2012-11-26
94331,load and discharge,装卸,,2012-11-26
94332,live cargo,动物货,,2012-11-26
94333,littoral drift,沿岸漂流,,2012-11-26
94334,littoral currnet,碎波流,,2012-11-26
94335,list of signal letters,船名代字表,,2012-11-26
94336,liquid ballast,液体载压物,,2012-11-26
94337,lipper,小浪花,,2012-11-26
94338,limited contract stevedore,有限契约装卸业,,2012-11-26
94339,lighthouse tender {= LHT},灯塔补给[船]；灯塔勤务船,,2012-11-26
94340,lighter's wharf,驳船专用码头,,2012-11-26
94341,lighterman,驳船工人,,2012-11-26
94342,lighter wharf,驳船码头,,2012-11-26
94343,lighted arc,明弧,,2012-11-26
94344,light vessel,灯船,,2012-11-26
94345,light station; lighthouse,灯塔,,2012-11-26
94346,light staff,灯杆,,2012-11-26
94347,light period,放光时间,,2012-11-26
94348,light keeper,灯塔管理员,,2012-11-26
94349,light dues,灯塔税；灯钞,,2012-11-26
94350,light and beacon list,灯塔；灯标列表,,2012-11-26
94351,lifting pontoon,浮箱{打捞沉船沈物用},,2012-11-26
94352,lifting gear,起重机具；起重装置；升降装置,,2012-11-26
94353,lift shot,发射、抛掷救生索,,2012-11-26
94354,lifebuoy light; water light,救生圈灯,,2012-11-26
94355,life saving station {= LSS},救生站,,2012-11-26
94356,life saving rocket,救生信号火箭,,2012-11-26
94357,life jacket; lift saving jacket,救生衣,,2012-11-26
94358,life equipment; lift saving apparatus,救生设备,,2012-11-26
94359,life cutter,救生艇；救生巡逻艇,,2012-11-26
94360,licenced pilot [= licensed pilot],登记合格引水人；有照引水人,,2012-11-26
94361,lewis,方块吊杆,,2012-11-26
94362,level luffing crane,平伸式起重机,,2012-11-26
94363,levee,防洪堤,,2012-11-26
94364,length of entrance,进口水道长度,,2012-11-26
94365,leading light,导航灯,,2012-11-26
94366,lead lane; vein,冰间水道,,2012-11-26
94367,L-block type wharf,L型钢筋混凝土块码头,,2012-11-26
94368,lazaret [= lazarette; lazaretto],传染病医院；检疫所；艉库,,2012-11-26
94369,layday,约定装卸日数,,2012-11-26
94370,Law of Registry of Ship,船舶登记法,,2012-11-26
94371,law of pilotage,引水法,,2012-11-26
94372,lateral marking system,横标制,,2012-11-26
94373,lantern,灯笼,,2012-11-26
94374,lane of ice,冰区间航路,,2012-11-26
94375,landing ramp,登岸坡道,,2012-11-26
94376,landing pier,登岸码头,,2012-11-26
94377,landing floating pontoon,登岸浮码头,,2012-11-26
94378,landing floating bridge,登岸浮桥,,2012-11-26
94379,landing card,旅客登岸证,,2012-11-26
94380,landing account,栈单；卸货报告,,2012-11-26
94381,lagoon,咸水湖；月湖；礁沛；浅水塘,,2012-11-26
94382,lagging of tide,落后潮,,2012-11-26
94383,lade,装载货物,,2012-11-26
94384,ladder hoisting winch,梯式绞车,,2012-11-26
94385,Klaxon,可勒克森雾号,,2012-11-26
94386,junk,中国帆船；舢板；废绳头,,2012-11-26
94387,junction buoy,洲源浮漂；航道汇合浮标,,2012-11-26
94388,jib crane,伸臂起重机,,2012-11-26
94389,jetty,[实堤]码头；突堤；堤{防沙、防波、导流},,2012-11-26
94390,jaw crusher,双颚碎石机,,2012-11-26
94391,Japanese Marine Corporation [= Japanese Maritime Corporation; Nippon Kaiji Kyokai] {= NK},日本验船协会；日本海事协会,,2012-11-26
94392,isolated danger beacon,孤立危险警标,,2012-11-26
94393,irregular wave,不规则波,,2012-11-26
94394,irregular concrete block breakwater,异型混凝土块消波堤,,2012-11-26
94395,irregular concrete block,异形混凝土块,,2012-11-26
94396,iron ballast; kentledge,压舱铁块,,2012-11-26
94397,inward pilotage,入港引水费,,2012-11-26
94398,inward bound,进口,,2012-11-26
94399,international terminal operator,国际栈埠营运人员,,2012-11-26
94400,International Regulations for Preventing Collision at Sea,海上避碰国际规则,,2012-11-26
94401,International Load Line Certificate,国际载重线证书,,2012-11-26
94402,International Labor Organization,国际劳工局,,2012-11-26
94403,international harbor,国际港,,2012-11-26
94404,international embargo,国际禁运,,2012-11-26
94405,International convention Relating to the Arrest of Seagoing Ships,海轮扣押国际公约,,2012-11-26
94406,International Convention Relating to Stow Away,处理偷渡人国际公约,,2012-11-26
94407,International Convention of Certain Rules Converning Civil Jurisdiction in Matters of Collision,船舶碰撞事件民事管辖国际公约,,2012-11-26
94408,International Convention for the Unification of Certain Rules Relating to Maritime Liens and Mortgages,统一船舶优先权及抵押权国际公约,,2012-11-26
94409,International Convention for the Unification of Certain Rules of Law with Respect to Assistance and Salvage at Sea,统一海上救助捞救规定国际公约,,2012-11-26
94410,International Convention for the Unification of Certain Rules of Law in Regard to Collision,统一船舶碰撞责任规定国定国际公约,,2012-11-26
94411,International Convention for the Prevention of Pollution of the Sea by Oil,防止海上油污国际公约,,2012-11-26
94412,International Cargo Handling Coordination Association,国际货物装卸协调协会,,2012-11-26
94413,International Association of Ports and Harbors {= IAPH},国际港埠协会,,2012-11-26
94414,internal friction angle,内摩擦角,,2012-11-26
94415,intermodal,水陆联运；一贯性运输作业,,2012-11-26
94416,intermittent load,间歇载重,,2012-11-26
94417,intake gate,进口闸门,,2012-11-26
94418,inside berth,内港船席,,2012-11-26
94419,inner route,内港航线,,2012-11-26
94420,inner package,内包装,,2012-11-26
94421,inner harbor,内港,,2012-11-26
94422,inner anchorage,内港锚地,,2012-11-26
94423,inflammable cargo; inflammable goods,易燃货[物],,2012-11-26
94424,inferior tide,劣潮,,2012-11-26
94425,inertia force,惯性力,,2012-11-26
94426,industrial harbor,工业港,,2012-11-26
94427,inbound procedure,进仓手续,,2012-11-26
94428,in distress,遇难,,2012-11-26
94429,impact force,冲击力,,2012-11-26
94430,in ballast,空放；空载{有压舱，仅装压载物},,2012-11-26
94431,illumination,照度；照明,,2012-11-26
94432,illuminating light,照明灯,,2012-11-26
94433,illuminating arc,照明弧,,2012-11-26
94434,illuminate {= ILLUM},照明,,2012-11-26
94435,idnetification mark,标志,,2012-11-26
94436,identification signal,标志信号,,2012-11-26
94437,identification lamp,标志灯,,2012-11-26
94438,ice ship,冰区船舶,,2012-11-26
94439,ice lead,冰区航路,,2012-11-26
94440,ice harbor,冻港,,2012-11-26
94441,ice free harbor; ice free port,不冻港,,2012-11-26
94442,ice boat,冰上滑行水船；碎冰船,,2012-11-26
94443,hydrostatics,流体静力学,,2012-11-26
94444,hydroprapher,海道测量师；水道测量师,,2012-11-26
94445,hydrometric surveying,水文测量,,2012-11-26
94446,hydrometric station,水文站,,2012-11-26
94447,hydrokinematics,流体运动学,,2012-11-26
94448,hydrodynamics,流体力学；流体动力学,,2012-11-26
94449,hydraulic mode test,水工模型试验,,2012-11-26
94450,hydraulic jigger,液压绞辘；液力绞车,,2012-11-26
94451,hydraulic jet dredge,冲水挖泥船,,2012-11-26
94452,hydraulic hoist,液力升高起重机；液压升高起重机,,2012-11-26
94453,hydraulic hammer,液力锤；液压锤；金锤,,2012-11-26
94454,hydraulic fill,水力填方,,2012-11-26
94455,hydraulic elevator,液力升降机；液压升降机,,2012-11-26
94456,hydraulic dumping car,液力倾倒车；液压倾倒车,,2012-11-26
94457,hydraulic crane,液力起重机；液压起重机,,2012-11-26
94458,hydraulic capstan,液力绞盘；液压绞盘,,2012-11-26
94459,hydraulic block,液力垫块；液压垫块,,2012-11-26
94460,hydrant,消防栓,,2012-11-26
94461,Hovercraft,气垫飞船,,2012-11-26
94462,hot poppa; hot suitman; life preserver,救生员,,2012-11-26
94463,hostile embargo,禁止敌船出入,,2012-11-26
94464,hose,软管；水龙带,,2012-11-26
94465,hopper barge,开合舱底驳船；开底泥[污]驳船,,2012-11-26
94466,homogenous cargo,同类货,,2012-11-26
94467,hollow rubber cylinder or rectangular fender,橡胶圆筒或矩形柱体护舷,,2012-11-26
94468,hold crew,海上班舱内工人,,2012-11-26
94469,hold clear,清舱,,2012-11-26
94470,hoist,悬挂；旗帆高度货物升降机；升高{吊货时之旗帆高度信号旗组},,2012-11-26
94471,hoddy-doddy,灯塔回转灯,,2012-11-26
94472,hobbing pilot; unlicensed pilot,无照引水人,,2012-11-26
94473,hinterland,腹地,,2012-11-26
94474,highest high water level,天文潮最高高潮位,,2012-11-26
94475,high water of neap tide,小潮平均高水位,,2012-11-26
94476,high water rock,高潮礁,,2012-11-26
94477,high water level equinoxial spring tide,春秋分大潮高水位,,2012-11-26
94478,high water interval,高水位间隔,,2012-11-26
94479,high tide shore line,高潮岸线,,2012-11-26
94480,high early strength cement,早强水泥,,2012-11-26
94481,high rubble mound composite breakwater,高抛石基合成防波堤,,2012-11-26
94482,hidden harbor,隐蔽港,,2012-11-26
94483,helmet,潜水帽；护盔；钢盔,,2012-11-26
94484,helium diving,氦气潜水法,,2012-11-26
94485,height of light above high water,[灯塔]高潮面至灯光高度,,2012-11-26
94486,height of light above base,[灯塔]塔基至灯光高度,,2012-11-26
94487,heel post,门轴；跟轴,,2012-11-26
94488,heavy lift wharf,起重码头,,2012-11-26
94489,heavy duty crane,强力起重机,,2012-11-26
94490,head of bay,海湾前端；海湾顶点,,2012-11-26
94491,hatch survey,舱口检查；舱口检验,,2012-11-26
94492,harmonic constants of tide,调和常数{潮汐},,2012-11-26
94493,hard tent; hatch tent,舱口雨蓬,,2012-11-26
94494,harborage,碇泊所,,2012-11-26
94495,harbor works,港湾工程,,2012-11-26
94496,harbor watch,碇泊值班,,2012-11-26
94497,harbor service,港埠服务；港埠勤务,,2012-11-26
94498,harbor regulation,港务规章,,2012-11-26
94499,harbor helicopter,港用直升机,,2012-11-26
94500,harbor entrance; harbour,港口,,2012-11-26
94501,harbor defence; harbor defense,港防,,2012-11-26
94502,harbor commission,港务管理委员会,,2012-11-26
94503,harbor bureau; harbour authority,港务局,,2012-11-26
94504,harbor boat; harbor craft,港勤船[只],,2012-11-26
94505,harbor authority,港务当局,,2012-11-26
94506,harbor area; harbor district,港区,,2012-11-26
94507,harbor accommodation,港内容纳船舶能量,,2012-11-26
94508,harbor [= harbour],海港；湖港；河港,,2012-11-26
94509,hand winch,手摇绞车,,2012-11-26
94510,half tide rock,半潮礁,,2012-11-26
94511,hammer head crane,锤头式起重机,,2012-11-26
94512,half tide dock,半潮码头,,2012-11-26
94513,half tidal basin,半潮港,,2012-11-26
94514,half flood,半涨潮,,2012-11-26
94515,guide light,导灯,,2012-11-26
94516,guarantor,保证人,,2012-11-26
94517,guarantee,保证书,,2012-11-26
94518,groyne,海堤；防波堤；抗流堤,,2012-11-26
94519,grouting,灌浆,,2012-11-26
94520,group of waves; wave group,波群,,2012-11-26
94521,groundage,进港税；停泊费{英},,2012-11-26
94522,groin series,丁坝系列,,2012-11-26
94523,groin,丁坝；防沙坝；抗流堤,,2012-11-26
94524,gridiron,修造船架,,2012-11-26
94525,green buoy,绿色浮标,,2012-11-26
94526,gravity type wharf,重力式码头,,2012-11-26
94527,gravity type fender,重力式护舷,,2012-11-26
94528,gravity discharge,重力卸货,,2012-11-26
94529,gravity corer,重力式海底软层取样器,,2012-11-26
94530,gravity caisson wharf,重力式箱码头,,2012-11-26
94531,grain elevator; grain silo; silo,谷仓,,2012-11-26
94532,grain discharging hopper,开底卸谷斗,,2012-11-26
94533,gradually applied laod,渐加载重,,2012-11-26
94534,grab dredge {orange peel clamshell},掀斗挖泥船{哈壳橘皮瓣},,2012-11-26
94535,gorge,峡谷；山峡；V型钓钩,,2012-11-26
94536,goose neck crane,鹅颈式起重机,,2012-11-26
94537,good road,良好外海抛锚区,,2012-11-26
94538,good berth,良好船席,,2012-11-26
94539,good anchorage,良好锚地,,2012-11-26
94540,gong,锣,,2012-11-26
94541,goliath crane,巨无霸起重机,,2012-11-26
94542,geographic range,地理见距,,2012-11-26
94543,geographic number,地形号序,,2012-11-26
94544,generation of wave,起浪,,2012-11-26
94545,general cargo wharf,杂货码头,,2012-11-26
94546,gear train,齿轮组合；连串齿轮,,2012-11-26
94547,gauging station,水位站,,2012-11-26
94548,garbage lighter,垃圾驳船,,2012-11-26
94549,gantry crane,跨越式起重机；高架式起重机,,2012-11-26
94550,gangway,舷门；舷梯[口]；通路；跳板；梯口通道,,2012-11-26
94551,fuse,熔线；[电路]保险丝；熔断器；炸药引信,,2012-11-26
94552,furniture,船上出航设备,,2012-11-26
94553,fully relief,无浮力[坞底],,2012-11-26
94554,fully hydraulic,全浮力[坞底],,2012-11-26
94555,fully arisen wave,成熟浪,,2012-11-26
94556,full rigged,装备完整的船,,2012-11-26
94557,full dressing ship,挂满旗船舶,,2012-11-26
94558,full capacity,满载量,,2012-11-26
94559,fueling barge,加油驳船,,2012-11-26
94560,fuel oil barge,燃油驳船,,2012-11-26
94561,fuel harbor,燃料加添港,,2012-11-26
94562,front leading light,前导灯,,2012-11-26
94563,front harbor,前港,,2012-11-26
94564,freight pier,货运码头,,2012-11-26
94565,freedom of the sea; freedom of the open sea,公海自由,,2012-11-26
94566,free storage time,存货免租期,,2012-11-26
94567,free ship,未被租用船只；中立船只,,2012-11-26
94568,free port zone,自由港区；免税港区,,2012-11-26
94569,free pilotage,自由领航；自由引水,,2012-11-26
94570,free despatch,快速免费计,,2012-11-26
94571,fraxil ice,屑冰,,2012-11-26
94572,framing,船身架；构架,,2012-11-26
94573,framed wood pile dolphine,木桩束,,2012-11-26
94574,framed wharf,架式码头,,2012-11-26
94575,foundation pneumatic caisson,压气沈箱基础,,2012-11-26
94576,foul berth,不良泊位,,2012-11-26
94577,fortified port,要塞港,,2012-11-26
94578,fork lift; fork truck; forklift truck,堆高机,,2012-11-26
94579,foreshore,前岸；前滩,,2012-11-26
94580,fog signal,雾信号,,2012-11-26
94581,fog gun signal,雾炮信号,,2012-11-26
94582,foam line,奔浪泡沫线,,2012-11-26
94583,floor of lock,船闸底板,,2012-11-26
94584,flooding light,泛光灯；洪光灯,,2012-11-26
94585,flood tide gate,高潮水门,,2012-11-26
94586,flood tide,涨潮；每一低潮至高潮所需时间,,2012-11-26
94587,flood plain,冲积平原,,2012-11-26
94588,flood mark,洪水位；高潮位标志泛水标志；,,2012-11-26
94589,floating wreckage,漂流物；浮动失事船残骸破片,,2012-11-26
94590,floating type tide gauge,浮式检潮仪,,2012-11-26
94591,floating pontoon; floating wharf,浮码头,,2012-11-26
94592,floating pole,浮标杆,,2012-11-26
94593,floating pier,突堤式浮码头,,2012-11-26
94594,floating obstruction,浮动障碍物,,2012-11-26
94595,floating mud pipe-line,水上排泥浮管,,2012-11-26
94596,floating log or bamboo camel fender,原木或竹片梱成浮护舷,,2012-11-26
94597,floating light,浮灯,,2012-11-26
94598,floating landing stage; landing stage,浮栈桥,,2012-11-26
94599,floating gate,浮式坞门,,2012-11-26
94600,floating fender,浮式护舷,,2012-11-26
94601,floating dock,浮[船]坞,,2012-11-26
94602,floating derrick,浮式吊杆；吊杆船,,2012-11-26
94603,floating crane,水上起重机；起重船,,2012-11-26
