ID,英文名稱,中文名稱,圖片,更新日期
20271532,.TMP files,.TMP 格式档案；暂时性档案,,2023-01-17
20271533,.TTF files,.TTF 字型格式档案,,2023-01-17
20271534,.TXT files,.TXT 格式档案；正文档案,,2023-01-17
20271535,.UUE files,UUE 编码格式档案,,2023-01-17
20271536,.VBP files,.VBP 格式档案,,2023-01-17
20271537,.vi,.vi 副档名,,2023-01-17
20271538,.WAF files,.WAF 格式档案,,2023-01-17
20271539,.WAV files,.WAV 格式档案,,2023-01-17
20271540,.WKS files,.WKS 格式档案,,2023-01-17
20271541,.WMF files,.WMF 格式档案,,2023-01-17
20271542,.WP5 files,.WP5 格式档案,,2023-01-17
20271543,.WPD files,.WPD 格式档案,,2023-01-17
20271544,.XLS files,.XLS 格式档案,,2023-01-17
20271545,.ZIP files,.ZIP 格式档案,,2023-01-17
20271546,@,在；每；at,,2023-01-17
20271547,@stake,@stake 软体安全,,2023-01-17
20271548,[quantity] value,[量] 值,,2023-01-17
20271549,[standard] base line,[标准] 基线,,2023-01-17
20271550,<to> click,点选,,2023-01-17
20271551,<to> display,显示,,2023-01-17
20271552,<to> expand,扩充,,2023-01-17
20271553,<to> fill,填充,,2023-01-17
20271554,<to> iconize,图符化,,2023-01-17
20271555,<to> maximize,最大化,,2023-01-17
20271556,<to> minimize,最小化,,2023-01-17
20271557,<to> mirror,镜像,,2023-01-17
20271558,<to> obscure,模糊,,2023-01-17
20271559,<to> occlude,阻隔,,2023-01-17
20271560,<to> resize,调整大小,,2023-01-17
20271561,<to> shrink,收缩,,2023-01-17
20271562,<to> stow,装载,,2023-01-17
20271563,<to> stretch,伸展,,2023-01-17
20271564,0/1 knapsack problem,0/1 背包问题,,2023-01-17
20271565,0-ary function,零元函数,,2023-01-17
20271566,0-based indexing,零基索引,,2023-01-17
20271567,1 1/2 spacing,1.5 倍行间距,,2023-01-17
20271568,1 dimensional{=1D},1 维,,2023-01-17
20271569,1. process,处理；过程,,2023-01-17
20271570,1.TR.6,1.TR.6 控制通道协定,,2023-01-17
20271571,1/2-inch tape backup,1/2 吋磁带备份,,2023-01-17
20271572,1/4-inch tape cartridge,1/4 吋匣式磁带,,2023-01-17
20271573,100 Gigabit Ethernet,100GB 乙太网路；100 吉比乙太网路；1000 亿位元乙太网路,,2023-01-17
20271574,100% pure Java,100% 纯 Java 程式语言；100% 爪哇程式语言,,2023-01-17
20271575,1000 Gigabit,1000 吉比；10000 亿位元,,2023-01-17
20271576,1000Base-FX ethernet,1000Base 光纤雷射乙太网路；1000 Mbps 光纤雷射乙太网路,,2023-01-17
20271577,1000Base-LX ethernet,1000Base 长波雷射乙太网路；1000 Mbps 长波雷射乙太网路,,2023-01-17
20271578,1000Base-SX ethernet,1000Base 短波雷射乙太网路；1000 Mbps 短波雷射乙太网路,,2023-01-17
20271579,1000Base-T ethernet,1000Base 双绞线乙太网路；1000 Mbps 双绞线乙太网路,,2023-01-17
20271580,1000Base-T1 ethernet,1000Base 汽车乙太网路；1000 Mbps 汽车乙太网路,,2023-01-17
20271581,1000Base-X ethernet,1000Base 雷射乙太网路；1000 Mbps 雷射乙太网路,,2023-01-17
20271582,100Base,100Base 技术,,2024-10-17
20271583,100Base-CX ethernet,100Base 同轴线乙太网路；100 Mbps 同轴线乙太网路,,2023-01-17
20271584,100Base-F ethernet,100Base 光纤乙太网路；100 Mbps 光纤乙太网路,,2023-01-17
20271585,100Base-FX ethernet,100Base 光纤雷射乙太网路；100 Mbps 光纤雷射乙太网路,,2023-01-17
