ID,英文名稱,中文名稱,圖片,更新日期
136337,read only memory (ROM),唯读记忆体,,2012-11-26
136338,readback (RB),覆诵,,2012-11-26
136339,reactor,反应、推、反应器、电抗器、电抗线圈、扼流圈,,2012-11-26
136340,reaction wheels,反作用轮,,2012-11-26
136341,reaction turbine,反动式涡轮,,2012-11-26
136342,reaction torque,反作用扭矩;反作用扭力,,2012-11-26
136343,reaction time,反应时间,,2012-11-26
136344,reaction engine,反应式发动机,,2012-11-26
136345,reaction control system,喷气操纵系统,,2012-11-26
136346,reaction control jet (RCJ),反应控制喷流,,2012-11-26
136347,reaction,反应力;反作用,,2012-11-26
136348,reacted pressure,失速压力,,2012-11-26
136349,reactant,反应物,,2012-11-26
136350,reaching cruising altitude (RCA),到达巡航高度,,2012-11-26
136351,Rayleigh wave,雷莱波;表面波,,2012-11-26
136352,Rayleigh scattering,雷莱散射,,2012-11-26
136353,Rayleigh process,雷莱过程,,2012-11-26
136354,Rayleigh number,雷莱数,,2012-11-26
136355,Rayleigh line,雷莱线,,2012-11-26
136356,Rayleigh formula,雷莱公式,,2012-11-26
136357,Rayleigh flow,雷莱流,,2012-11-26
136358,Rayleigh atmosphere,雷莱大气,,2012-11-26
136359,raw material,原料,,2012-11-26
136360,rawinsonde,雷文送,,2012-11-26
136361,rawin,雷文;雷达测风,,2012-11-26
136362,rational horizon,理论地平,,2012-11-26
136363,ratiometer,比率计,,2012-11-26
136364,rating,额定;分级,,2012-11-26
136365,rate transmitter,速率发射机,,2012-11-26
136366,rate receiver,速率接收机,,2012-11-26
136367,rate of sink,下沈率,,2012-11-26
136368,rate of roll,滚转率,,2012-11-26
136369,rate of heat release,释热率,,2012-11-26
136370,rate of descent,下降率,,2012-11-26
136371,rate of closure,接近率,,2012-11-26
136372,rate of climb indicator,升降速率指示器,,2012-11-26
136373,rate of climb (ROC),爬升率,,2012-11-26
136374,rate of ascent,上升率,,2012-11-26
136375,rate-integrating gyro,速率积分陀螺仪,,2012-11-26
136376,rate gyro,速率陀螺仪,,2012-11-26
136377,rated revolution,额定转速,,2012-11-26
136378,rated power output,额定动力输出,,2012-11-26
136379,rated load,额定负载,,2012-11-26
136380,rated horsepower,额定马力,,2012-11-26
136381,rated engine speed,发动机额定速率,,2012-11-26
136382,rated brake horsepower,额定制动马力,,2012-11-26
136383,rate damping,速率阻尼,,2012-11-26
136384,rate,率;费率,,2012-11-26
136385,rare gas,稀有气体,,2012-11-26
136386,rarefied gasdynamics,稀薄气体动力学,,2012-11-26
136387,rapid-reload capability,快速再装载能力,,2012-11-26
136388,rapid eye movements (REM),眼球快速移动,,2012-11-26
136389,rapid-extraction parachute,快速张开降落伞,,2012-11-26
136390,rapid decompression,快速减压,,2012-11-26
136391,rapid automatic sweep equipment (RASE),快速自动扫描器,,2012-11-26
136392,RAPCON facility,雷达进场管制设施,,2012-11-26
136393,Rankine oval,郎肯椭圆体,,2012-11-26
136395,range velocity navigation (raven),距离与速度导航;雷汶飞弹,,2012-11-26
136396,range tracking,距离追踪,,2012-11-26
136397,range to target,目标距离,,2012-11-26
136398,range strobe,射程扩微光标,,2012-11-26
136399,range station,导航台,,2012-11-26
136400,range resolution,距离解析度,,2012-11-26
